,Recipe Name,Duration,Difficulty,Calories /pers,Related,Description,Ingredients,Preparation,Dietetique,Astuces,Image url
42,Lentilles à la marocaine,35 min,Facile, ,Recettes marocaines - Lentilles - Pas Cher - Tomate - Plat pas cher,"Ce ragoût de lentilles vertes puise ses origines dans la cuisine marocaine. Cette recette est à la fois réconfortante et nutritive. L'ingrédient star ? Les lentilles vertes, une excellente source de protéines végétales, de fibres et de minéraux essentiels. Très simple à préparer, ce plat est sain et particulièrement complet : des lentilles, de l'ail, de la tomate, des oignons et surtout, des épices. Il peut être dégusté seul en tant que plat principal ou en accompagnement d'autres mets.","Lentille(s) verte(s) (250 g) - Ail (2 gousse(s)) - Persil ( Quelques brin(s)) - Coriandre ( Quelques brin(s)) - Cube Maggi (1 ) - Coulis de tomate (10 cl) - Oignon(s) râpé (0,5 ) - Huile végétale (1 c. à soupe) - Sel, poivre ( )","Faites bouillir les lentilles dans une grande quantité d'eau pendant 10 min. 
- Parallèlement, hachez le persil et la coriandre puis écrasez l'ail et mettez le tout dans une cocotte-minute. 
- Rajoutez le cube Maggi, le coulis de tomate, l'huile et l'oignon râpé. 
- Une fois les lentilles ramollies, mettez-les dans la cocotte et recouvrez-les d'eau. Salez, poivrez et faites cuire pendant 10 min.","<p class=""serif-secondary txt-dark-gray"">Ce plat est un modèle nutritionnel. D'un côté, les lentilles sont une excellente source de protéines végétales, de fibres, de fer, de folate et de nombreux autres nutriments essentiels. Si vous êtes anémié, pensez à en manger régulièrement ! Elles sont également faibles en matières grasses et pourtant rassasiantes, ce qui en fait un choix très sain lorsque la faim se fait sentir. Servez vos lentilles à la marocaine avec des légumes verts ou une petite timbale de riz.</p>","N'hésitez pas à compléter votre plat de lentilles à la marocaine en ajoutant des légumes supplémentaires tels que des carottes, des poivrons ou des épinards. Plus de saveurs et encore plus de nutriments ! N'ayez pas peur d'explorer différentes épices et herbes pour varier les saveurs, comme le cumin, le paprika fumé, ou le romarin. Vous êtes amateur de piquant ? Une pincée de piment rouge broyé ajoutera encore plus de caractère au plat.",https://img.cuisineaz.com/660x660/2016/04/28/i96779-lentilles-a-la-marocaine.jpg
43,Basboussa aux amandes,1 h 5 min,Facile, ,Ramadan - Recettes marocaines - Recettes algériennes - Amande - Recettes tunisiennes - Semoule,"La basboussa est une pâtisserie orientale facile et rapide à réaliser mais qui nécessite un petit temps de repos. Il s'agit d'un gâteau de semoule imbibé de sirop, délicieux à déguster avec un bon thé à la menthe. Il existe différentes façons d'aromatiser ce dessert. Ici, nous vous proposons une recette de basboussa aux amandes.",Semoule fine (500 g) - Amande en poudre (100 g) - Yaourt(s) nature(s) (2 pot(s)) - Œuf(s) (5 ) - Sucre (60 g) - Huile d'arachide (100 ml) - Levure chimique (2 sachet(s)) - Sel (1 pincée(s)) - Amande(s) mondée(s) ( ) - Sucre (2 tasse(s)) - Jus de citron (2 c. à soupe) - Eau de fleur d'oranger (2 c. à soupe) - Eau (3 tasse(s)),"Préchauffez le four à 200°C. Pendant ce temps, mélangez la semoule, la poudre d'amande, les oeufs, la levure chimique, le sucre, les 2 pots de yaourt, l'huile et le sel dans un grand saladier. 
- Beurrez et farinez un moule rectangulaire. Versez-y la préparation en lissant la surface et dessinez des lignes pour former des carrés. Placez une amande mondée au centre de chaque carré. Enfournez pendant 25 à 30 minutes jusqu'à ce que le gâteau soit doré. 
- Pendant ce temps, dans une casserole, mettez l'eau, le sucre, le jus de citron et l'eau de fleur d'oranger. Portez à ébullition puis baissez le feu, faites réduire pendant 15 minutes et retirez du feu.  
- Une fois le gâteau cuit, sortez-le du four et imbibez-le immédiatement avec le sirop puis laissez-le refroidir complètement. Découpez les carrés et servez. ", ,"Il est important de laisser refroidir complètement votre basboussa aux amandes, sinon elle sera impossible à découper. Pour aller plus vite, vous pouvez la placer au frigo.",https://img.cuisineaz.com/660x660/2015/05/12/i50657-basboussa-aux-amandes.jpg
44,Kefta à la marocaine,35 min,Facile,255,Recettes marocaines,"Originaires du Maghreb, les keftas sont des boulettes de viande hachée mélangée avec des épices, mises en brochettes et cuites sous le gril. Accompagnées de semoule pour couscous ou à déguster en apéritif, le dépaysement est garanti. La cuisine marocaine n'aura plus aucun de secret pour vous !","Viande d'agneau (700 g) - Oignon(s) (1 ) - Ail (1 gousse(s)) - Œuf(s) (1 ) - Cumin en poudre (1 c. à café) - Ras el-hanout (1 c. à café) - Piment en poudre (1 pincée(s)) - Menthe fraîche (8 feuilles) - Coriandre hachée (3 c. à soupe) - Sel, poivre ( ) - Pics en bois ( )","Préchauffez le four en position gril. À l’aide d’un couteau bien aiguisé, désossez si besoin et hachez finement la viande d’agneau. Pelez et hachez l’oignon et l’ail. Lavez, épongez et ciselez finement les feuilles de menthe fraîche et la coriandre.  
- Dans un saladier, mélangez la viande d’agneau hachée avec l’oignon et l’ail haché, la coriandre et la menthe ciselées, le piment, le ras el hanout et le cumin. Incorporez-y l’oeuf entier, puis salez et poivrez selon vos goûts. Malaxez bien le tout jusqu’à obtenir une sorte de farce. 
- À l’aide de vos mains, formez des boulettes avec le mélange, puis enfilez-les sur des brochettes ou pics en bois. Placez les brochettes sur une grille allant au four. Enfournez et laissez cuire pendant 12 min, en retournant les brochettes à mi-cuisson pour les laisser légèrement dorer. À la sortie du four, servez de suite ces boulettes de keftas accompagnées de semoule pour couscous oriental.", ,"N’hésitez pas à utiliser une autre viande pour réaliser cette recette de keftas : boeuf, mouton ou encore veau, à vous de choisir !",https://img.cuisineaz.com/660x660/2013/12/20/i71753-kefta-a-la-marocaine.jpeg
45,Chakchouka aux merguez,1 h 25 min,Facile, ,Ramadan - Recettes marocaines - Recettes algériennes - Poivron - Recettes du monde - Recettes tunisiennes - Tomate,"La chakchouka, aussi appelée tchektchouk ou tchoukchouka, est une spécialité de la cuisine maghrébine. Ce plat est composé de poivrons, oignons, piments, tomates et épices mijotés auxquels on ajoute un œuf à la fin. C’est un plat du quotidien, facile à préparer et plein de saveurs. Nous vous proposons ici une recette de chakchouka aux merguez.","Poivron(s) vert(s) (6 ) - Tomate(s) mûre(s) (3 ) - Merguez (300 g) - Œuf(s) (2 ) - Oignon(s) rouge(s)  (1 ) - Ail (2 Gousse) - Persil (0,5 Botte(s)) - Piment doux (1 c. à café) - Cumin moulu (1 c. à café) - Harissa (1 c. à café) - Huile d'olive (2 c. à soupe) - Sel ( ) - Poivre ( )","Faites griller les poivrons : enfournez-les à 200°C pendant 45 min, jusqu’à ce que leur peau brunisse. Dès la sortie du four, enfermez-les dans un sac de congélation 30 min. Lorsqu’ils ont refroidi, retirez-leur la peau (elle va s’enlever toute seule) ainsi que les pépins et le chapeau. Coupez-les en petits morceaux ou en lamelles.  
- Émincez l’oignon et faites-le revenir dans une poêle avec de l’huile d’olive. Lorsqu’il commence à suer, ajoutez les tomates pelées et coupées en petits morceaux ainsi que les poivrons. Ajoutez les épices, le persil et mélangez bien. Laissez cuire 15 min à feu moyen en remuant de temps en temps.  
- Pendant ce temps, faites cuire vos merguez à la poêle ou au barbecue. Lorsque la préparation aux légumes commence à compoter, ajoutez-y les merguez.  
- Cassez vos oeufs dans la poêle, par-dessus votre préparation. Laisser cuire 5 min, jusqu’à ce que la cuisson des oeufs vous satisfasse. Dégustez avec un bon pain. ", ,"Si vous manquez de temps, il est possible d’utiliser les poivrons sans les faire griller (mais le goût sera légèrement différent) ou bien d’en acheter en bocaux, déjà grillés. ",https://img.cuisineaz.com/660x660/2022/02/18/i182962-chakchouka-aux-merguez.jpeg
46,Gâteau algérien basboussa,1 h,Facile, ,Ramadan - Recettes marocaines - Recettes algériennes - Amande - Miel - Recettes tunisiennes - Semoule,"Le gâteau algérien basboussa est une pâtisserie orientale facile à réaliser. Elle est composée d'un gâteau de semoule imbibé de sirop. Dans cette version, le sirop est à base de miel. Un ingrédient qui donne à ce dessert une note gourmande irrésistible ! On le retrouve couramment sur les tables du Ramadan en fin de repas, avec un bon thé à la menthe.","Sucre (1 verre(s)) - Lait (1 verre(s)) - Huile (1 verre(s)) - Œuf(s) (3 ) - Zeste(s)s de citron(s) ( ) - Semoule (1 verre(s)) - Levure (3 paquet(s)) - Miel (1 kg) - Eau de fleur d'oranger (0,5 verre(s))","Mélangez le sucre, le lait, l'huile, les œufs, le zeste, en remuant avec une cuillère en bois. Ajoutez la semoule et la levure et travaillez bien le mélange. Versez la préparation dans un plat à gratin beurré et enfournez-le 45 min à 200°C. Le gâteau doit être doré.  
- Pendant ce temps, mélangez le miel avec l'eau de fleur d'oranger sur feu doux. 
- Dès que vous sortez le gâteau du four, versez dessus votre sirop au miel. Décorez selon ce que vous souhaitez : pistaches, amandes effilées, coco râpée... Servez froid. ", ,"Pour découper votre gâteau algérien basboussa, celui-ci doit avoir bien absorbé le sirop et être totalement froid. Il est possible de le placer au frigo pour gagner du temps. ",https://img.cuisineaz.com/660x660/2022/02/21/i182998-gateau-algerien-basboussa.jpeg
47,Couscous aux sept légumes,2 h 15 min,Intermédiaire, ,Recettes marocaines - Traditionnel - Recettes algériennes - Aubergine - Boeuf - Chou - Courges - Courgette - Navet - Pomme de terre - Recettes tunisiennes - Semoule,"Parmi les milliers de variantes du couscous, on retrouve le couscous aux sept légumes, qui est l'un des plus célèbre.  Il réunit généralement des courgettes, carottes, navets, chou, courge ou potiron, céleri branche et pois chiches.
Il contient également de la viande assez grasse (comme du collier d’agneau, du jarret d'agneau ou de bœuf...) mais on peut également utiliser du poulet si vous préférez... ou ne pas mettre de viande et opter pour une version végétarienne !",Semoule à couscous (1 kg) - Jarret de bœuf (500 g) - Navet(s) (300 g) - Carotte(s) (300 g) - Courgette(s) (300 g) - Chou(x) (300 g) - Pomme(s) de terre (300 g) - Aubergine(s) (300 g) - Potiron (300 g) - Tomate(s) (300 g) - Oignon(s) (2 ) - Safran (1 c. à café) - Piment doux (1 c. à café) - Sel (1 c. à café) - Poivre (1 c. à café) - Gingembre (1 c. à café) - Coriandre (1 bouquet(s)) - Beurre (200 g),"Dans votre marmite à couscous, faites revenir les oignons émincés avec de l'huile d'olive. Ajoutez-y votre viande de bœuf coupées en gros morceaux et faites-la dorer. Ajoutez les tomates préalablement mixées puis l'ensemble des épices ainsi que la coriandre. Laissez cuire à feu vif quelques minutes avant de couvrir de 5 l d'eau froide. Portez à ébullition et laissez cuire à petits bouillons pendant 30 minutes. 
- Mettez la semoule à couscous dans un saladier et versez dessus un peu d'eau tiède salée. Mélangez et détachez les grains avec une fourchette. Mettez la semoule dans le panier du couscoussier et posez-le sur la marmite pour 20 minutes.  
- Lavez les navets et coupez-les en quartiers. Lavez et grattez les carottes et coupez-les en tronçons. Lavez les courgettes et coupez-les en rondelles de 3 cm d'épaisseur. Lavez le chou et coupez-le en lanières. Pelez le potiron et coupez-le en gros cubes. Lavez les aubergines et coupez-les en dés.  
- Reprenez votre semoule, hydratez-la avec un peu d'eau et détachez les grains à la main ou à la fourchettes. 
- Au bout de 30 minutes de cuisson du bouillon, ajoutez les navets, les carottes et le chou. Laissez cuire pendant 15 min puis ajoutez le potiron, les pommes de terre, les aubergines et les courgettes. Laissez cuire pendant 35 min.  
- Remettez la semoule dans le panier du couscoussier pour 20 minutes de cuisson à nouveau. Quand elle est cuite, mettez-la dans un plat. Ajoutez-y du beurre coupé en morceaux et défaites bien les grains. 
- Creusez un puits au centre de la semoule et disposez-y les légumes et la viande, nappés d'un peu de bouillon de légumes. Présentez le reste de sauce dans un bol séparé. ", ,"Ce couscous aux sept légumes peut être servi accompagné d'un délicieux confit d’oignons et de raisins secs, à présenter dans un petit récipient à part. ",https://img.cuisineaz.com/660x660/2016/04/28/i29076-couscous-aux-sept-legumes.jpg
48,Tourte marocaine,1 h,Facile, ,Recettes marocaines,"La tourte marocaine est une recette traditionnelle du Maroc, connue aussi sous le nom de pastilla de poulet. Préparée avec des amandes, la tourte marocaine est un délicieux plat aux saveurs sucrées, que l’on prépare pour le ramadan ou les fêtes religieuses ou familiales.","Feuille(s) de filo (1 paquet(s)) - Amandes effilées (250 g) - Beurre (100 g) - Blanc(s) de poulet  (4 ) - Oignon(s) (4 ) - Œuf(s) (4 ) - Crème liquide (25 cl) - Sucre (100 g) - Bouillon de poule (0,5 l) - Cannelle en poudre (1 pincée(s)) - Safran (1 pincée(s)) - Miel (2 c. à soupe) - Huile d'olive (2 c. à soupe) - Sel poivre ( )","Prélevez le poulet et posez-le dans un plat, puis émiettez-le. 
- A présent, préparez la farce aux œufs en ajoutant le bouillon de poule dans la cocotte que vous allez laisser réduire en mettant sur feu fort.  
- Une fois que l’eau s’est évaporée, ajoutez les œufs et la crème fraîche dans la cocotte et mélangez bien. Réservez. 
- Dans une poêle, faites griller les amandes pour en relever toutes les saveurs, puis ajoutez le sucre et laissez caraméliser. Réservez. 
- Beurrez un plat à tarte et étalez une feuille de filo. Beurrez-la entièrement puis posez dessus une nouvelle feuille de filo, badigeonnez de nouveau avec du beurre et répétez l’opération une troisième fois. 
- Déposez la farce à base d’œufs dans le plat à tarte, ajoutez le poulet et terminez par les amandes. Recouvrez le tout avec une feuille de filo beurrée. Refermez la tourte marocaine avec les autres feuilles. 
- Enfournez la tourte marocaine au four à 180°C (Th.6) pendant 45 minutes. A la fin de la cuisson, badigeonnez de miel. C’est prêt ! 
- Ajoutez le sel, le poivre, la cannelle et le safran et mélangez bien. Poursuivez la cuisson pendant 30 minutes. 
- Déposez les morceaux de poulet dans la cocotte avec les oignons et faites-les dorer sur toutes les faces. 
- Dans une cocotte, faites chauffer l’huile d’olive à feu moyen, puis ajoutez les oignons pour les faire revenir, jusqu’à ce qu’ils soient colorés. ", ,"Pour cette recette de Tourte marocaine, vous pouvez compter 20 minutes de préparation. Pour en savoir plus sur les aliments de cette recette de tourtes, rendez-vous ici sur notre guide des aliments.",https://img.cuisineaz.com/660x660/2016/06/23/i20006-tourte-marocaine.jpeg
49,Sardines à la marocaine,25 min,Facile, ,Recettes marocaines,"Les sardines cuisinées à la marocaine dorées et croustillantes vous invitent à la gourmandise. Simples à préparer, elles symbolisent le Maroc à elles-seules. Elles sont préparées avec une marinade envoûtante de parfums appelée chermoula à base d’ail, d’herbes et d’épices, parfois accompagnées de tomates, pommes de terre dans des plats en terre cuite.",Sardine (1 kg) - Ail (2 gousse(s)) - Huile d'olive (4 c. à soupe) - Paprika (2 c. à soupe) - Cumin (2 c. à soupe) - Coriandre fraîche ( ) - Farine ( ) - Huile de friture ( ) - Sel poivre ( ),"Nettoyez et videz les sardines. Levez-les en filets. 
- Dans une assiette creuse, mettez les épices (paprika, cumin), les gousses d’ail écrasées et la coriandre hachée, le sel et le poivre. Ajoutez l’huile d’olive et mélangez bien. 
- Répartissez ce mélange sur les filets de sardine côté chair. Collez les filets deux par deux côté chair également. Passez-les dans la farine et faites les frire dans une poêle. Egouttez sur papier absorbant et servez bien chaud.", ,"Pour les amateurs de plats plus épicés, vous pouvez ajouter de la harissa aux épices. Côté cuisson, le barbecue ou à la plancha sont bien adaptés également à ce type de recettes. Aussi, pour gagner du temps, faites lever les filets de sardines par votre poissonnier.",https://img.cuisineaz.com/660x660/2018/06/20/i140544-sardines-a-la-marocaine.jpeg
50,Brick aux épinards et à la viande hachée,23 min,Facile, ,Ramadan - Recettes marocaines - Recettes algériennes - Epinards - Recettes tunisiennes,"Les bricks constituent une entrée très répandue au Maroc, en Algérie mais aussi en Tunisie. Nous vous proposons aujourd'hui une recette de bricks aux épinards et à la viande hachée, qui change des versions classiques au thon ou aux pommes de terre. Délicieusement croustillantes, elles accompagneront très bien une salade ou une soupe.",Feuille(s) de brick (10 ) - Épinard(s) ( ) - Viande hachée (100 g) - Oignon(s) haché(s) (1 ) - Vache qui Rit ( ) - Cumin ( ) - Gingembre ( ) - Crème fleurette (2 c. à soupe) - Sel poivre ( ),"Dans une poêle, faites suer les oignons à l'aide d'une noisette de beurre. Ajoutez les épinards, puis la viande hachée, salez, poivrez et épicez. Faites cuire à feu doux sous couvert.  Avant la fin de la cuisson, versez 2 cuillères à soupe de crème de fleurette. Éteignez au bout de 10 secondes et laissez reposer 5 minutes. 
- Coupez les feuilles de bricks en 2 sur la longueur. Pliez le côté arrondi vers le côté qui ne l'est pas. Sur l'extrémité, mettez l'équivalent d'une cuillère à soupe de votre farce avec un peu de fromage turc ou de Vache qui rit® (attention : ne pas mettre trop de fromage, cela déborde pendant la cuisson).  Pliez la feuille de brick en triangle. 
- Faites dorer les bricks sur chaque face à feu moyen.", ,"Il est possible d'utiliser des épinards congelés dans votre farce. Si vous en utilisez des frais, gardez bien à l'esprit qu'ils perdent énormément en volume lors de la cuisson. ",https://img.cuisineaz.com/660x660/2016/05/07/i82382-brick-aux-epinards-et-a-la-viande-hachee.jpg
51,Lentilles à la marocaine au Cookeo,23 min,Facile, ,Cookeo - Facile - Recettes marocaines - Lentilles - Pas Cher - Recettes du monde - Plat pas cher,"À la recherche d’une recette de lentilles qui sort de l’ordinaire ? Laissez-vous tenter par les lentilles à la Marocaine au Cookeo. Cette préparation traditionnelle à base d’épices, de concentré de tomates et d’ail vous offrira des saveurs originales et réconfortantes pour les journées froides et pluvieuses. Préparez-vous à voyager au soleil !","Lentille(s) verte(s) (300 g) - Ail (3 gousse(s)) - Oignon(s) (1 ) - Eau (85 cl) - Concentré de tomates (1 c. à soupe) - Coriandre moulue (1 c. à café) - Curcuma (1 c. à soupe) - Cumin (1 c. à café) - Gingembre (1 c. à café) - Paprika (1 c. à café) - Sel, poivre ( )","Épluchez et écrasez l’ail. Épluchez et émincez l’oignon. 
- Versez les lentilles, les oignons émincés, et l’ail dans la cuve de Cookeo. Recouvrez le tout avec l’eau et ajoutez la coriandre moulue, le curcuma, le cumin, le gingembre, le paprika et le concentré de tomates. Remuez bien. 
- Lancez la cuisson sous pression pendant 20 min. Salez, poivrez et servez aussitôt.", ,"Servez vos lentilles chaudes en guise de plat principal, ou froides pour une salade gourmande en entrée. Vous pouvez aussi y ajouter quelques boulettes de boeuf pour un repas complet.
",https://img.cuisineaz.com/660x660/2022/05/13/i183706-lentilles-a-la-marocaine-au-cookeo.jpeg
52,Poulet aux pruneaux (spécialité marocaine),55 min,Facile, ,Recettes marocaines,,Poulet coupé en morceau(x) (1 ) - Pruneau(x) (200 g) - Oignon(s) (3 ) - Safran (1 pincée(s)) - Ras-el-hanout (1 pincée(s)) - Piment (1 ) - Amande(s) entière(s) (100 g) - Beurre (1 noix) - Huile d'olive ( ) - Sel poivre ( ),"Dans une sauteuse, faites dorer les oignons dans un peu d'huile. 
- Ajoutez le poulet coupé en morceaux, salez, poivrez, ajoutez le safran, le raz el hanout et le piment, recouvrez le tout avec un peu d'eau, laissez cuire 30 à 40 min. 
- Faites dorer les amandes entiéres dans un peu de beurre. 
- Mélangez le tout et ajoutez les pruneaux que vous aurez fait bouillir quelques minutes dans l'eau au préalable. 
- Servez accompagné de frites.", ,"Pour cette recette de Poulet aux pruneaux (spécialité marocaine), vous pouvez compter 15 minutes de préparation. Pour en savoir plus sur les aliments de cette recette de poulet, rendez-vous ici sur notre guide des aliments.",https://img.cuisineaz.com/660x660/2018/03/19/i137195-poulet-aux-pruneaux-specialite-marocaine.jpeg
53,Makrout aux amandes,1 h,Intermédiaire, ,Ramadan - Recettes marocaines - Recettes algériennes - Aïd - Amande - Recettes tunisiennes,"Les makrouts aux amandes sont la version algéroise du traditionnel makrout aux dattes. Ils sont garnis d’une farce aux amandes parfumée à la cannelle et sont aussi appelés en arabe “Makrout lassel”. On retrouve couramment les makrouts aux amandes sur les tables du Ramadan en Algérie, mais aussi lors des fêtes et célébrations. Une pâtisserie qui s’associe parfaitement avec un bon verre de thé à la menthe.","Semoule moyenne (225 g) - Huile neutre (15 ml) - Smen (40 g) - Sel (1 pincée(s)) - Eau de fleur d'oranger (30 ) - Eau (25 ml) - Poudre d'amandes (90 g) - Sucre en poudre (30 g) - Cannelle (0,5 c. à café) - Beurre fondu (1 c. à café) - Huile de friture ( ) - Miel ( ) - Eau de fleur d'oranger (1 c. à soupe)","La pâte : Faites fondre le smen et mélangez-le à l’huile. Attendez que le mélange refroidisse complètement.  
- Mélangez l’eau à la fleur d’oranger.  
- Prenez un grand saladier, mélangez-y la semoule et le sel. Versez dessus le mélange de smen et d’huile et sablez la préparation sans la pétrir pour qu’elle absorbe toute la matière grasse. Laissez reposer à l’abri de l’air dans un film alimentaire 30 minutes minimum (ou idéalement toute une nuit).  
- Mouillez progressivement la pâte avec le mélange eau et fleur d’oranger jusqu’à obtenir une pâte qui puisse être façonnée.  
- La farce : Mélangez la poudre d’amandes, le sucre et la cannelle. Ajoutez le beurre fondu et mélangez. Ajoutez progressivement de petites quantités d'eau de fleur d’oranger de façon à obtenir une farce que l’on peut façonner.  
- Le façonnage : Formez un gros boudin avec votre pâte en faisant attention à bien tasser la pâte. Aidez-vous de votre pouce pour créer un sillon au centre du boudin.  
- Formez un boudin avec la farce aux amandes. Placez-le à l’intérieur de votre pâte et refermez-la pour bien emprisonner la farce aux amandes. Découpez ensuite des losanges dans ce gros boudin.  
- La cuisson : Faites chauffer un bain d’huile de friture à feu moyen et plongez-y vos makrouts aux amandes. Lorsqu’ils sont dorés, sortez-les de l’huile et déposez-les sur du papier absorbant. 
- Faites chauffer le miel dans une casserole, ajoutez-y la fleur d’oranger et trempez vos makrouts à l’intérieur pendant quelques minutes pour qu’ils soient bien imbibés. Laissez-les ensuite égoutter sur une grille pour retirer le surplus de miel. Dégustez lorsque vos pâtisseries sont totalement refroidies. ", ,"Si vous n’avez pas de smen, vous pouvez utiliser du beurre classique, mais le goût ne sera pas tout à fait le même. Le smen se trouve facilement en épicerie arabe ou peut se fabriquer maison en laissant rancir du beurre. ",https://img.cuisineaz.com/660x660/2022/02/18/i182976-makrout-aux-amandes.jpeg
54,Boules à la noix de coco à la Marocaine,50 min,Facile, ,Recettes marocaines - Pas Cher - Dessert pas cher,,Farine (700 g) - Sucre en poudre (250 g) - Levure chimique (1 Sachet) - Sucre vanillé (1 Sachet) - Confiture (1 pot(s)) - Noix de coco râpée(s) (400 g),"Préchauffez le four à 180°C (thermostat 6). 
- Dans un grand saladier, mélangez les oeufs battus, le beurre et le sucre en poudre.  
- Ajoutez la farine, la levure chimique et le sucre vanillé.  
- Mélangez bien la pâte avec vos mains.  
- Formez des boules de la taille d'une noix et aplatissez-les un peu sur le dessus, disposez-les sur une plaque. 
- Faites cuire 20 minutes au four. 
- Attendez que les rochers soit froids. 
- Faites tiédir la confiture, mettez-en un peu sur le coté plat d'un des rochers, puis soudez-en un autre dessus. 
- Vous obtenez une boule. Roulez cette boule dans la confiture, puis dans la noix de coco.", ,"Pour cette recette de Boules à la noix de coco à la Marocaine, vous pouvez compter 30 minutes de préparation. Pour en savoir plus sur les aliments de cette recette de desserts, rendez-vous ici sur notre guide des aliments.",https://img.cuisineaz.com/660x660/2016/06/30/i42120-boules-a-la-noix-de-coco-recette-marocaine.jpeg
55,Tajine de poulet aux citrons confits,1 h 30 min,Facile, ,Recettes marocaines - Traditionnel - Recettes algériennes - Citron - Olive - Poulet - Recettes tunisiennes,"Le tajine aurait été inventé par les Berbères. Traditionnellement, ce plat dont la composition peut être très variées (légumes, viande, poisson, oeufs...) a la particularité d'être à la fois un ustensile de cuisson et  un plat de service. Ce tajine de poulet aux citrons confits ensoleillera votre repas ! Il se déguste à merveille avec un bon pain maison.",Poulet (1 ) - Olives vertes (250 g) - Citron(s) confits() (1 ) - Oignon(s) (2 ) - Ail (4 gousse(s)) - Safran (4 dose(s)) - Gingembre frais (2 cm) - Eau (50 cl) - Huile d'olive (15 cl) - Coriandre ciselée (2 c. à soupe) - Sel poivre ( ),"À l’aide d’un couteau bien aiguisé, désossez le poulet, puis coupez-le en morceaux réguliers. Épluchez et émincez finement les oignons. Pelez et hachez l’ail puis lavez, épongez, coupez en deux et dénoyautez les olives vertes. Taillez les olives vertes dénoyautées et le citron confit en fines lamelles. Pelez et râpez le morceau de gingembre frais. 
- Faites chauffer l’huile d’olive dans un faitout ou un plat à tajine placé sur feu moyen. Lorsqu'elle est bien chaude, déposez les oignons émincés et l’ail haché dans le faitout ou le plat, puis faites-les revenir pendant 3 min ou jusqu’à ce qu’ils dorent. 
- Incorporez alors les morceaux de poulet, puis assaisonnez-les avec du sel et du poivre selon vos goûts et ajoutez le gingembre râpé. Laissez cuire pendant 5 min en retournant les morceaux de poulet sur toutes les faces afin qu’ils prennent une jolie couleur dorée. 
- Entre-temps, faites bouillir l’eau dans une casserole sur feu vif.  À l’ébullition, ajoutez le safran, baissez le feu à feu moyen, puis laissez cuire pendant 10 min. Ôtez du feu en fin de cuisson et réservez. 
- Quand les morceaux de poulet sont bien dorés, ajoutez l’eau au safran, puis les lamelles d’olives vertes et de citron confit. Mélangez bien et poursuivez la cuisson à feu doux pendant 30 min supplémentaires, à couvert. À la fin de la cuisson, rectifiez l’assaisonnement en sel et en poivre si besoin, puis parsemez le tajine de coriandre ciselée. ", ,"Vous trouverez très facilement des citrons confits en grande surface, au rayon cuisine du monde, ou bien en épicerie arabe. ",https://img.cuisineaz.com/660x660/2016/04/28/i18762-tajine-de-poulet-aux-citrons-confits.jpg
56,Makrouts au four (pâtisserie Orientale),1 h 40 min,Intermédiaire, ,Ramadan - Recettes marocaines - Recettes algériennes - Aïd - Recettes tunisiennes,"Les makrouts figurent parmi les pâtisseries orientales les plus connues. Ils sont couramment consommés pendant le Ramadan ou lors de l'Aïd. Ils se composent d'une pâte à base de semoule, traditionnellement fourrée aux dattes. Ils sont habituellement frits, avant d'être trempé dans du miel. Nous vous proposons ici une recette plus légère, avec des makrouts au four.","Semoule (600 g) - Beurre clarifié (200 g) - Eau de fleur d'oranger ( ) - Sel ( ) - Pâte de datte (250 g) - Poudre d'amandes (50 g) - Cannelle (0,25 c. à café) - Clou(s) de girofle (0,25 c. à café) - Huile neutre (1 c. à soupe) - Eau de fleur d'oranger ( ) - Miel liquide ( Un peu)","Préparez la farce : travaillez la pâte de dattes avec les autres ingrédients (poudre d’amandes, cannelle, clous de girofle moulus, huile, fleur d’oranger, miel fleur d’oranger) jusqu'à obtention d'une boule molle. Laissez de côté. 
- Préparez les makrouts. Pendant que votre four préchauffe th.6/7 (175°C), prenez une grande terrine, versez la semoule et le sel. Mélangez.  Faites une fontaine et versez le beurre clarifié fondu. Mélangez bien afin que le beurre soit bien absorbé par la semoule. Laissez reposer.  
- Mouillez la semoule avec de l'eau de fleur d'oranger et de l'eau, et mélangez du bout de vos doigts et sans pétrir. Une fois que vous avez une boule compacte, laissez-la de côté, et couvrez avec un film alimentaire au moins 30 min.  
- Prenez une bonne quantité de la pâte, façonnez un boudin. Avec votre index, faites une fente au centre dans le sens de la longueur. Roulez un petit boudin de pâte de dattes et introduisez-le dans la fente. Remontez les bords de la pâte sur les dattes afin de la recouvrir entièrement. Roulez de nouveau délicatement pour avoir un boudin d'une largeur de 2 cm de hauteur. Avec un moule à empreinte, appuyez sur le dessus du boudin et aplatissez légèrement afin d'avoir le motif sur le makrout. Découpez le boudin en losanges et mettez-les de côté dans un plat allant au four recouvert de papier sulfurisé. Renouvelez cette opération jusqu'à épuisement de la pâte.  
- Enfournez 30 min à 40 min jusqu'à ce qu'ils soient dorés. 
- Trempez les makrouts dans le miel avec un peu de fleur d’oranger dés leur sortie du four. Servez lorsqu'ils ont refroidi.  ", ,"Ces makrouts au four se conservent dans une boite hermétique pour une bonne durée. Vous pouvez faire la pâte de dattes maison : dénoyautez les dattes, faites-les cuire à la vapeur, une fois tendres, ajoutez 1 c. à soupe d’huile, de cannelle, de clou de girofle et mixez le tout.
",https://img.cuisineaz.com/660x660/2013/12/20/i10605-makrout.jpeg
