,name,ingredients,instructions,preparation_time_minutes,cooking_time_minutes,image_url,source
10,Pita Bread,3 ¼ cup/390g all-purpose flour - 2 ¼ tsp/7g active dry yeast - 1 tsp/6g coarse salt - 2 tbsp/30ml olive oil - 1 ¼ cup/295ml warm water,"In a large bowl, combine warm water (about body temperature, no more than 110°F/43 C) with ¼ cup/30g flour. Stir to dissolve.  Sprinkle the yeast on top and set aside for about 10 minutes until foamy.  Add the remaining flour, salt, and olive oil. Stir until everything comes together in a sticky dough.  Turn out on a floured surface and knead for 7-10 minutes until smooth and soft. If the dough is still sticking to your hands more than itself, add a bit more flour a tbsp/7g at a time.  Place dough into a greased bowl and cover it with plastic wrap or a damp cloth.  Place in a warm location and allow rising until 2.5-3x the size, about 1 hour, depending on the ambient temperature.  Preheat oven to 475°F/250 C. Place a heavy baking sheet in the oven to heat as well. Turn out on the lightly floured surface and cut into 15 equal pieces.  With each piece, fold the edges into the center and roll between your palms to form a ball. Set aside to rest for 5-7 minutes, covered with a cloth so the gluten relaxes.  On a well-floured surface, use a rolling pin to roll each piece into a 5”/12.5cm circle slightly more than ¼”/6mm thick.  Rest the formed pitas for 15 minutes. Bake 3-5 pitas at a time by placing them on the preheated baking sheet. Bake for 2-3 minutes until well puffed (but not turning brown). Remove immediately and place a new batch in the oven. Once removed from the oven, the pitas will collapse but will still have the pocket inside when cut open.  Serve immediately or store in an airtight container in the fridge for up to 3 days.",130,10,https://marocmama.com/wp-content/uploads/2023/04/Mini-Pita-Bread_5268-scaled-720x720.jpg,https://marocmama.com/middle-eastern-pita-bread-recipe/
11,shwarma sandwiches,"4 chicken breasts - 1 tsp sumac - 1 tsp each salt and pepper - 1/2 tsp turmeric - 1 1/2  Tbsp cumin - 3 cloves garlic chopped finely - 1 Tbsp ginger - 1 tsp coriander - 1/2 tsp cardamom - chili pepper (to taste, add more if you like heat, omit if you don't) - juice of 1 lemon - 1 Tbsp vegetable oil - water","1. Trim chicken breasts of any excess fat. Place in a bowl and add the sumac, salt and pepper garlic, turmeric, coriander, cumin, ginger, cardamom and chili pepper (optional). 2. In the bottom of your slow cooker add the vegetable oil and add the chicken. 3. Pour the lemon juice on top and add enough water to almost cover the chicken. 4. Cook on low heat for 4 hours, until the chicken is falling apart, keep on warm until just before serving 5. A few minutes before eating, transfer the chicken and liquid to a large pan. Shred the chicken with forks, and turn the heat to high. 6. Watch the chicken as the liquid reduces. You will want all of the liquid to be reduced, and the chicken to just slightly begin drying up. At this point it's done.",15,240,https://marocmama.com/wp-content/uploads/2012/12/Middle-Eastern-Chicken-Shwarma-720x720.jpg,https://marocmama.com/slow-cooker-chicken-shwarma/
12,Gluten-Free Moroccan Harcha,3 cups corn flour (not cornstarch)* - 1 T baking powder - 4 T sugar - 1 t salt - 4 T butter (melted) - 1/2-3/4 cup warm milk until the batter is wet enough to form patties in your hand,"Mix the dry ingredients and add in the butter then milk. Add the milk slowly to make sure the dough is not too wet. Mix dough with your hands as it will be stiff. Form into hamburger-like patties and cook in butter over medium-low heat. They take a little bit to cook fully through on both sides (approximately 6-9 minutes per side). Serve with honey or jam. Better yet, you can make a true Moroccan side by mixing together warm butter and honey, in equal proportions, for dipping sauce. Bet you can’t eat just one.",5,18,https://marocmama.com/wp-content/uploads/2012/08/Moroccan-Harcha.jpg,https://marocmama.com/gluten-free-moroccan-cooking-harcha/
13,Gluten-Free Pita Bread,Rice flour: 1 cup (160 g) - Tapioca flour: 2/3 cup (80 g) - Psyllium husk powder: 2 tsp - Salt: 1/2 tsp - Oil: 2 tsp - Fresh yeast: 10 g or Dry yeast: 1 tsp (Vegan version) - Stevia: 1/2 tsp or Sugar Cane :1 1/2 tsp - Warm water: 200 ml (3/4 cup + 2 tbsp),"Warm up some water in a saucepan over medium heat until it reaches a temperature around 104°F. Add the yeast and stevia to the water and stir with a spoon until well combined. Set it aside for 5 minutes to proof the yeast - if it becomes frothy, the yeast is active and can be used. In a large mixing bowl, whisk together the dry ingredients; rice flour, tapioca flour, psyllium husk powder, and salt. Pour the yeast mixture and oil into the bowl and stir until everything is evenly combined. Work the dough with your hands until it's smooth and elastic, then return it to the mixing bowl. Cover the bowl tightly with cling film and move it to a warm area. Leave it for 60 minutes or until the dough has visibly expanded and risen. Once the dough has risen, divide it into 5 equal portions (around 90 grams each) and shape them into balls. Dust your rolling pin with rice flour and gently flatten each ball of dough into a circular shape. *(1/4-inch thick). Heat up a skillet over medium-high heat for a few minutes until it's hot. Place one of the rolled-out circles of dough into the skillet and cook it for about a minute or until bubbles start to form on the surface. Flip the pita over and cook it for another minute or two on the other side until it's golden brown and slightly puffed up. Repeat this process with the remaining circles of dough, making sure to keep the cooked pitas covered with a kitchen towel to keep them warm.",5,18,https://marocmama.com/wp-content/uploads/2023/08/DSC_0059-scaled-720x720.jpeg,https://marocmama.com/easy-gluten-free-pita-bread/
14,Gluten Free Moroccan Khobz,1 cup white rice flour - 3/4 cup cornstarch - 1 3/4 cup gluten free oat flour - 1 tsp salt - 1 tsp xanthan gum - 1 1/2 tsp yeast - 1 1/2 tsp sugar - 1 egg - 2 tsp milk - 1 1/2 cups warm water - olive oil,"In a large mixing bowl, or bowl of a stand mixer, add white rice flour, cornstarch, oat flour, xanthan gum, and salt. Mix well. In a smaller bowl, mix together yeast, sugar, and 1/2 cup warm water. Leave yeast to activate 5-10 minutes (will have a frothy appearance). Once yeast has activated, add to the dry ingredients along with 1 egg, milk, and the remaining warm water. Mix well to combine everything. The dough will remain wet and sticky. Pour enough olive oil into your hands to make them slick. Coat the dough with olive oil, cover with a clean kitchen towel, and leave to rise 30-45 minutes (note if your kitchen is cold, it may take longer). When the dough has doubled (or almost) in size, divide into 2-3 equal sized balls. Preheat your oven to 400 degrees F. Coat your hands again in olive oil, and place the rounds one by one onto a peel floured with white rice flour or oat flour. Bake for 20-30 minutes. The bread is ready when it makes a hollow sound when tapped. Flatten each round and transfer to a pizza stone or floured cookie sheet.",5,18,https://marocmama.com/wp-content/uploads/2013/09/Gluten-Free-Moroccan-Bread-320x320.jpg,https://marocmama.com/gluten-free-moroccan-style-round-bread/
15,Moroccan Orange and Black Olive Salad with Argan Dressing,2 1/2 medium oranges OR 5-6 mandarins - black salted olives - 1 tsp chopped cilantro - 1/8 tsp paprika - 1/8 tsp cumin - 1/2 tsp crushed garlic - 2 tsp argan oil - 1/8 cup orange juice,"Remove the peel from around the orange. Pull apart the segments, remove the inner skin, and cut into bite size pieces. In a bowl whisk together paprika, cumin, garlic and orange juice. Place olives and oranges in a bowl and drizzle spice/orange juice mixture over the top. Gently mix to combine. Drizzle argan oil on top of the salad and add fresh chopped cilantro. Serve immediately.",15,18,https://marocmama.com/wp-content/uploads/2017/01/Moroccan-Recipes_Orange-Black-Olive-and-Argan-Salad-720x720.jpg,https://marocmama.com/moroccan-orange-and-black-olive-salad-with-argan-dressing/
16,Moroccan Za'alook Salad,1 large cubed eggplant - 1–2 tomatoes cut small - 1 small to medium chopped onion - 1/4 cup olive oil - 2 cloves garlic chopped finely - 2 tsp paprika - 2 tsp cumin - salt and pepper to taste - 1/4 - 1/2 lemon to add a punch of flavor - chopped cilantro to top,"Clean eggplants and cut into cubes for faster cooking. Place in a large bowl and lightly salt to remove some of the excess water.  Add a few tbsp oil to a frying pan. Once it heats up add the garlic and onion and cook until softened (3-5 minutes). Add half of each of the spices.  Next include the tomatoes and eggplant. If you want you can add about 1/4 c of tomato sauce to make it smoother.  Add the rest of the oil and cook as the tomato and eggplant soften. Mash as this occurs. Add the rest of the spices at this point. The final result should not be too chunky, as you should cook until they are relatively soft. Some chunks are ok. Top with a squirt of lemon juice and cilantro",15,20,https://marocmama.com/wp-content/uploads/2007/09/Zaaklook-in-Pan-480x480.jpg,https://marocmama.com/zaalook/
17,Moroccan Taktouka,"4 tomatoes - skins removed and chopped up - 2 large green peppers (roasted - will describe in directions) - 1 large clove of garlic, finely chopped or pressed - 1 teaspoon salt (or more to taste) - 1/2 teaspoon black pepper - 1 tablespoon paprika - 2 teaspoons cumin - 1/4 teaspoon turmeric - 1/3 cup olive oil","To Roast Green Peppers: Traditionally these are roasted over an open gas flame until the outside is completely black. My mother in law then tosses them into a plastic bag that is sealed until the steam inside loosens the skins and it can easily be pulled away from the flesh. On gas stoves in the US this works great. and this is how I generally roast these peppers. You could also do them under the broiler of an oven on a cookie sheet but make sure to watch carefully and turn them often so that they do not catch on fire.  To Remove Tomato Skin: If you are good at peeling these with a paring knife go ahead, unfortunately I am not so good. Instead place a pot of water on high until boiling and score each tomato with an X. Once water is boiling put the tomatoes in and cook for 2-3 minutes. The skins will become loose and peel right off. You do not have to peel the tomatoes if you don't want for this recipe. Once the skin of the vegetables is removed, chop both the tomatoes and peppers into small pieces.  In a large pan pour 2/3 of the olive oil and bring to medium heat. Saute the garlic for 1-2 minutes and then add the green peppers and tomatoes.  Add the spices to the tomatoes and peppers. Continue to cook on medium high stirring occasionally until the the tomatoes are very soft and can easily be mashed. This may take less time depending on whether or not the tomatoes were soft from removing the skins. Mash the tomatoes with a fork or spoon and continue cooking until the liquid is reduced. If it becomes to dry add the leftover oil. Once it has reached a consistency you like remove from heat.",20,20,https://marocmama.com/wp-content/uploads/2009/11/Moroccan-Taktouka-with-Bread-480x480.jpg,https://marocmama.com/taktouka-green-pepper-and-tomato-salad/
18,"Potato, Carrot and Rice Salad","2-3 small to medium potatoes - 2 carrots - 3/4 cup of rice, rinsed - 1 tbsp mayo (real mayo folks) - 1/2 tsp cumin - salt and pepper to taste","Peel potatoes and carrots.  Boil in water until tender but not too soft, they should still have a slight bite.  Think something equivalent to al dente pasta.  In a separate pan boil 1 cup of water to 3/4c rice.  Cook until tender, adding more water if needed.  (Check the package, cooking time and ration will depend on the type of rice you use.) The carrots will most likely be tender ahead of the potatoes. Remove from water and put into cool water right away.  This will help keep the color.  Once cool to the touch, quarter each carrot and cut into small squares. Place into a large bowl. Do the same thing with the potatoes' once they are tender.  Add to the bowl with carrots. When rice is tender rice with cold water to cool off.  Add to bowl with carrots and potatoes.  Take one heaping spoon of mayo and mix into the vegetables and rice. Stir softly, so as not to break up the potatoes, until mayo is combined. Sprinkle the 1/2 tsp cumin on top and mix to combine.  Do the same with salt and pepper. I recommend serving this salad at a cold temperature. It is eaten at room temperature but I think it tastes better cold. Place onto a serving plate and eat with a spoon.",15,25,https://marocmama.com/wp-content/uploads/2011/04/Spoon-of-Carrot-Potato-Rice-Salad-720x720.jpg,https://marocmama.com/potato-carrot-and-rice-salad/
19,Tomato and Onion Salad,"2 large, fresh tomatoes - 1/2 Vidalia or other sweet onion - 1 1/2 Tbsp white vinegar - 3 Tbsp olive oil (good quality) - 1/2 tsp salt - 1/2 tsp pepper","Begin by washing the tomatoes and removing the seeds inside. You only want the exterior flesh.  Slice into strips and then very finely dice the strips. Cut the onion into very thin strips, as thin as you possibly can cut them. Dice the strips. Mix the onion and tomato together in a bowl. To prepare the dressing, whisk together the olive oil, vinegar, salt, and pepper.  Drizzle the dressing on top of the tomato and onions. Adjust seasoning as needed. Serve cold or at room temperature.",10,25,https://marocmama.com/wp-content/uploads/2013/05/Tomato-Onion-Salad--480x480.jpg,https://marocmama.com/tomato-and-onion-salad/
20,Moroccan Sweet Tomato Salad,4 medium tomatoes - 1 tsp vegetable oil - 1 Tbsp butter - 1/2 tsp cinnamon - 1/2 tsp salt,Blanche tomatoes to remove skin by boiling water in a pot large enough to submerge the tomatoes. Score each tomato lightly (breaking through the skin) and add to boiling water. Remove once the skin starts to peel away; approximately 2-3 minutes and immediately submerge tomatoes into ice water. Peel the skin from the tomatoes and discard. Cut the remaining tomato into chunks discarding any hard bits like stems or hard centers. In a large frying pan melt butter and oil on medium heat. Add tomato and reduce to low heat. Once tomatoes begin to soften add cinnamon and salt. Continue cooking until tomatoes are completely soft and have a sticky texture. Remove from heat and eat at room temperature or cool and store in the refrigerator for up to 3 days.,10,25,https://marocmama.com/wp-content/uploads/2017/06/sweet-tomato-dip-1-200x200.png,https://marocmama.com/moroccan-sweet-tomato-salad/
