Unnamed: 0,name,ingredients,instructions,preparation_time,cooking_time,total_time,image_url,source
10,Moroccan chorba,Lamb (250 g) - Carrot (s) (4) - turnip (s) (4) - Apple (s) of earth (2) - celery (3 branches) - Leek (x) (1) - Tomato (s)(3) - Tomatal concentrate (1 tsp) - Persil (1 bouquet (s)) - Coriander (1 bouquet (s)) - onion (s) (1) - Vermicecelle (1 handle (s)) -Olive oil (2 tbsp) - salt (1 tbsp) - pepper (0.5 tsp) - turmeric (1 tbsp),"Cut the lamb in coarse to prepare your Moroccan chorba.Peel the vegetables: carrots, turnips, potatoes and cut them into brunoise with celery, leek.
- In a large casserole dish, heat a drizzle of olive oil.
- Peel and chop the onion and sweat in the casserole dish with olive oil.
- Add the vegetables and mix.Cut the tomatoes into small dice then add them to the rest of the mixture with turmeric, tomato puree, pepper and salt.Brown over medium heat for 5 minutes, constantly stirring your Moroccan chorba.
- Chop the parsley and coriander.Add the herbs to the vegetable mixture.Add the meat and cover it all with water.
- Cook for 15 minutes your Moroccan chorba.
- Add the vermicelli and continue cooking covered for 5 minutes.
- Rectify the seasoning, immediately serve your Moroccan chorba.",20,30,50,https://img.cuisineaz.com/660x660/2016/07/15/i38707-chorba-a-la-marocaine.jpeg,https://www.cuisineaz.com/
11,Moroccan gazelles of my grandmother,Flour (250 g) - Butter (250 g) - Almond (s) (150 g) - Powdered sugar (150 g) - egg (s) (1) - Powder cinnamon () - Orange blossom water () - Salt ( ),"Preheat the oven to th.6 (180 ° C).Meanwhile, mix in a container of flour, butter and 1 pinch of salt.Then add 3 tsp.iced water (or more if the dough crumbles) then knead quickly to obtain a well elastic paste.Let stand for 1 hour.
- Prepare the almond farce.Dry and brown the almonds in the oven for a few minutes.Remove them and grate them in powder in a bowl.Add the powdered sugar.Break 1 egg on it and add 1 tsp.orange blossom water and 1 tsp.cinnamon coffee.Mix well.
- Take the dough and spread it for 2 mm thick.Make square cuts of about 8 cm.Place in the corner of each square, a small 5 cm sausage from the almond stuffing.Roll in the shape of a crescent.Put in the oven and cook for 20 min.
- After cooking, water 1 tsp.orange blossom water.Roll your preparation in icing sugar if you wish (Algerian gazelle horns) then taste.",25,35,60,https://img.cuisineaz.com/660x660/2023/04/17/i192902-cornes-de-gazelle-marocaines.jpg,https://www.cuisineaz.com/
12,Briouate Moroccan chicken,"Chicken cutlet (300 g) - Brick sheet (s) (8) - Green olives (10) - Onion (s) (1) - Garlic (1 pod (s)) - Persil (1 tsp) -Cumin (0.5 c. Coffee) - Paprika (0.5 tbsp) - ginger (0.5 tbsp) - butter (1 tsp) - flour (2 tbsp)- water (2 tbsp) - olive oil (2 tbsp) - salt, pepper () - Frying oil ()","Start by mince the chicken cutlets, green olives, then chop the onion and parsley, crush the garlic clove.
- In a bowl, mix the flour and water to make a kind of glue to seal the briouates.Book.
- In a skillet, heat the olive oil and sweat the onion for a few minutes.
- Melt the butter and mix well before adding the chicken and the garlic.Brown 5 minutes over medium heat.
- Add the parsley, the olives then all the spices.Lower the heat and simmer for 10 minutes.
- At the end of cooking, let cool off the heat.
- On a cutting board, cut the brick leaves in rectangles then brush them with melted butter.
- Take a spoon of chicken stuffing and place it at the end of a brick rectangle.Fold on an edge on top then alternate the folding once on the left, once to the right to obtain a briouate triangle.
- Sell the Moroccan chicken briouate by brushing the closure with the flour + water mixture.
- Repeat the operation until there is chicken stuffing left.
- Heat the frying oil and immerse each briouate in the bath to brown it.
- Drain the Briouate Moroccan chicken on absorbent paper and serve immediately.",30,45,75,https://img.cuisineaz.com/660x660/2016/07/07/i29654-briouate-poulet-marocaine.jpeg,https://www.cuisineaz.com/
13,Chebakia marocaine,White flour (1 kg) - wheat flour (200 g) - yellow (s) of egg (s) (2) - Sesame seeds (250 g) - Piée gum (s) (0.5 c.Coffee) - Method (80 g) - Oil (15 cl) - Anise (1 tsp) - Molded cinnamon (1 tsp) - Safran () - Orange blossom water (8 cl) -Vinegar (2 tsp) - baking powder (0.5 sachet) - Frying oil () - honey (),"Mix all ingredients in a bowl except frying oil and honey.
- Petrisses using a robot until you get a smooth and flexible paste.
- Make 4 balls and flatten them.
- Cut the dough with the Chebakia cutter or a sharp knife.
- Heat the frying oil in a saucepan.
- Form chebakia with all the rest of the dough.
- Fry in the pan of a boiling oil.
- Once golden, immerse the chebakia directly in honey.
- Drain them then let the cakes cool by adding the seeds of sesames.",15,30,45,https://img.cuisineaz.com/660x660/2015/05/12/i94793-chebakia-marocaine.jpg,https://www.cuisineaz.com/
14,Tajine Kefta œuf,Hired beef meat (600 g) - egg (s) (4) - onion (s) (2) - tomato (s) (6) - cumin (2 tbsp) - paprika (2 tbsp)- Ginger (2 tbsp) - garlic (1 pod) - olives (1 handle (s)) - Persil () - Salt () - Pepper (),"Prepare the kefta: peel and finely chop 1 onion, add the minced meat, half of the spices (1 tsp cumin, paprika and ginger) and half the washed and chiseled parsley.Mix well then shape meatballs with your damp hands.
- Heat the tagine dish with a few drops of olive oil.Brown the meat dumplings for a few minutes, stirring to color all the sides, then remove them from the dish.
- In the tagine, add the second onion and the garlic clove peeled and chopped, the rest of the spices, as well as the tomatoes washed and cut into quarters.Leave 15 min over low heat, stirring from time to time with a wooden spoon.
- Add the drained dumplings and olives, cover and continue cooking over low heat for 10 to 15 min.Finally break the eggs in the dish, cover and cook for another 3 min, time to freeze the whites.Serve the tagine kefta egg decorated with chopped parsley.",20,40,60,https://img.cuisineaz.com/660x660/2024/02/23/i197472-tajine-kefta-oeuf.jpg,https://www.cuisineaz.com/
15,Cookeo frozen vegetable couscous,Chicken pestle (s) (4) - Merguez (8) - Couscous vegetables (1 kg) - Tomato concentrate (70 g) - Poultry broth (2 cube (s)) - Water (45 cl) - spices withCouscous (1 tsp) - olive oil (2 tbsp),"Launch the Cookeo in gold mode and add the olive oil.Brown the chicken drumsticks for 5 minutes on each side.Book.
- Add the merguez to the tank and brown them for 4 minutes by turning them regularly.Add the chicken pests again to the cookeo tank, and pour the still frozen vegetables.
- Add the tomato puree, couscous spices and crumbled chicken broth cubes.Program cooking under pressure for 15 minutes.Meanwhile, prepare your semolina by following the indications of the package.
- Once the cooking is finished, serve the semolina with the meat, the vegetables and the juice.",10,25,35,https://img.cuisineaz.com/660x660/2022/05/24/i183938-shutterstock-374694943.jpeg,https://www.cuisineaz.com/
16,Moroccan lamb leg,Gigot d'Agneau (1) - Onion (s) (2) - Pepper (s) (2) - Water (200 ml) - rapeseed oil (6 tsp) - Garlic (4 pod) -Soft paprika (1 tbsp) - pepper (1 tsp) - powder pepper (1 tsp) - ginger (1 tbsp) - ground cumin (1 tsp) -El -Hanout (1 tsp) - Safran (1 pinch (s)) - Cube (s) broth (1),"Preheat the oven to th.6 (180 ° C).
-Peel the garlic cloves and cut them in half then bite them in the leg
- In a bowl, mix the oil with the spices then crush the cube broth and add half the amount of water.Mix well.
- Place the leg in a large baking dish and sprinkle it with the previous mixture using a ladle.Add the rest of the water to the bottom of the dish.
- Wash, seed and hull the peppers then cut it into strips.Peel and cut the onions into rings.Arrange the vegetables in the dish, around the meat.
- Bake for 45 min.At 1 hour, turning the leg back halfway through cooking and brushing the leg regularly with its cooking juices.At the end of cooking, brown in the grill position for a few minutes.",25,35,60,https://img.cuisineaz.com/660x660/2018/02/22/i135947-gigot-d-agneau-a-la-marocaine.jpeg,https://www.cuisineaz.com/
17,Moroccan chicken tagine,"Chicken (1) - Onion (s) (2) - Tomato (s) (1) - Apple (s) of earth (3) - Paprika (1 tsp) - Ginger (1 tsp) - Curcuma(1 tbsp) - coriander (a little) - sunflower oil () - salt, pepper ()","Put 2 tbsp.oil on the tagine dish.Cut the chicken into pieces, heat the tagine over high heat, and as soon as the oil is hot put the chicken pieces.Brown them by taking care to turn them over to have a homogeneous coloring on all the pieces.
- Peel and cut the onions then add them to the chicken pieces and continue to brown while lowering over medium heat.
- Cut the tomato into small dice and add it to the rest in the tagine, salt and pepper, then lower on low heat.Add the paprika and coriander, as well as a small glass of water.Simmer quietly.
- Cut the potatoes and place them on the tagine over the chicken, put a little salt on the potatoes.Simmer your Moroccan chicken tagine for 1 hour, adding a small glass of water as soon as the sauce decreases.
- Serve the tagine directly in its tagine dish.",30,45,75,https://img.cuisineaz.com/660x660/2022/03/03/i183097-tajine-de-poulet-a-la-marocaine.jpeg,https://www.cuisineaz.com/
18,Couscous and its sauce,"Medium couscous (500 g) - Mouton (500 g) - Chicken (1) - Tomato (s) (1 kg) - Carrot (s) (3) - Courgette (s) (3) - Oignon (s) (1)- Chickpeas (1 box (s)) - Raisins (1 cup (s)) - Oil (3 tbsp) - Butter (50 g) - Coriander (10 branch (s)) - Mint (10 branch (s)) - Cinnamon (2 pinch (s)) - Harissa (1 tsp) - Salt () - ground white pepper () - Oil (2 tbsp) - Harissa (1 tsp) -Mint (10 sheets) - Salt, white pepper () - Lamb leg (400 g) - Merguez (6) - Onion (s) (3)","Cut the sheep necklace into large cubes.Cut the chicken into 6 pieces.Peel and degem the onion.Wash and peel the carrots.Take them in dice.Wash the zucchini and chop them in rings.
- Place the meats and vegetables at the bottom of the couscoussier.Add the washed and chopped coriander and drained chickpeas.Wet at height with water.Salt and pepper, add the spices.Sprinkle with oil.Bring to a boil and simmer over medium heat, for 30 minutes, taking care to skim from time to time.
-Meanwhile, mix the butter, previously softened, with the couscous seed, rolling it with your fingertips, then sprinkle with 2 glasses of salt water brought to a boil.Shake it with a fork.As soon as she has inflated, place it in the upper basket of the couscoussier.
- Peel and seed the tomatoes.Add them to meats and vegetables.
- After 30 minutes of cooking, remove the vegetables and meats.Place them in a hollow dish.Pass the broth to Chinese and replace it on the fire.Replace the sheep and let it cook for 15 minutes uncovered.
- Prepare the skewers that will accompany the couscous and its sauce.Peel and degem the onions.Cut them in half or four, depending on their size.Develop the leg in cubes, which you put on skewers, alternating them with the onions.Brush with a little oil and cook on a hot grill.Also cook the merguez on the grill.Reserve them warm.
- Just before serving, replace the chicken and vegetables in the Dutch oven, so as to warm them up.
- Remove the basket semolina.Shake it in a hollow dish and coat with sauce.Place the leg skewers and merguez on it as well as sheep and chicken meats and vegetables in another dish.Pour a little sauce again and serve.",15,20,35,https://img.cuisineaz.com/660x660/2016/04/28/i68325-couscous-et-sa-sauce.jpg,https://www.cuisineaz.com/
19,Chicken rfissa,Female chicken (1 kg) - onion (s) (2 kg) - Oil (0.25 Glass (s)) - Persil (1 bouquet (s)) - Coriander (1 bouquet (s)) - Ginger (0.5Coffee c.) - Turmeric (1 tsp) - saffron () - salt () - pepper () - fenugreek seed (2 handle (s)) - green lens (s) (100 g)- AIL (1 pod) - SMEN (0.25 tsp) - White flour (1 bowl (s)) - Extra -fine semolina (2 bowl (s)) - Salt (1 pinch (s)) - Oil oil(1 bowl (s)) - Water (2 bowl (s)),"Start by preparing the Msemens: mix the flour and the extra-fine semolina in a large hollow dish, with salt and gradually pour water.Knead vigorously to obtain a smooth and soft paste.
-Make small balls, brush them with oil and flatten them with your fingers to get small circles.Place two on the other and weld them by crushing them with your fingers, until you get a large sheet of the thickness of a sheet of paper, almost transparent.
- Cooking the Msemens: Over medium heat, cook your paste leaves one by one, in a slightly oiled pan.Brown them on both sides.Once the whole dough is cooked, separate each sheet that you have previously stuck to obtain several thin sheets.Roll and cut the leaves, using scissors, in small pieces with a thickness.Place them in the top of a couscoussier.Book.
- In the couscoussier pot, put the chicken, chopped onions, oil, parsley, coriander and spices.Then salt and pepper.Sear the chicken and add 2 l of water.Cover and cook for 35 min, until the chicken is baked.Be sure to keep an amount of adequate sauce so that you can then water your Msemens.
- 6 minutes before the end of cooking, remove the cover, replace it with the couscoussier basket containing the pieces of the Msemens.Having them cool for about 6 min.
- Place your dish: Take a large hollow plate and arrange the pieces of lukewarm msemens.Place the chicken above and sprinkle generously with sauce.Keep a portion of sauce in a separate bowl, so that everyone can use themselves as they please.",25,30,55,https://img.cuisineaz.com/660x660/2022/06/01/i184134-rfissa-au-poulet.jpeg,https://www.cuisineaz.com/
20,Beef meat couscous,Beef meat (800 g) - Shadfit bread (3 slices (s)) - Parent chickpeas (1 box (s)) - tomato pulp (1 box (s)) - semolina (200 g) - milk (10 cl) - egg (s) (3) - shallot (s) (2) - Flour (4 tsp) - Happy parsley (1 tsp) - turnip (s) (1) - Carrot (s) (3) - Zucchini (s) (3) - Apple (s) of earth (3) - Salt (1 tsp) - Ginger (1 tsp) - Ras El -Hanout (1 tsp.Coffee) - Turmeric (1 tbsp) - pepper (0.5 tbsp) - SMEN (1 piece (x)),"Prepare the dumplings: Immerse the sliced bread in the milk.Peel and chop the shallots and stove them in 1 tsp.Olive oil soup for 5 min then reserve them in a bowl.Write the mie bread and add it to the container as well as beaten eggs, beef and parsley.Season with salt and pepper.Mix everything and shape balls 5 cm in diameter.Pass them in a plate containing flour.
- Heat 2 tsp.olive oil and cook the meat dumplings for 10 min before booking them.
- Chop the onion, cut the carrots, turnip, potatoes and zucchini in large pieces.In a pot over high heat, sweat the onion and the Smen with 1 tsp.olive oil.Then add the turnip, zucchini, potatoes and carrots.Remove the water from the chickpeas and integrate them into the pot with the crushed tomato pulp and spices.Pour water so that the vegetables are completely covered and emerge on the surface.Cover and simmer over medium heat for 30 min.
- Add the meat dumplings to the preparation and continue cooking without lid for 10 min.
- Meanwhile, in a bowl, cover the semolina with boiling water so that it turns completely.Add the rest of the olive oil, salt and pepper.Get everything with your fingers.Reheat the container in the microwave for 2 min.
- Place your service dish: place the semolina at the bottom, cover with sauce and arrange the vegetables and dumplings above.",20,35,55,https://img.cuisineaz.com/660x660/2022/02/22/i183007-couscous-aux-boulettes-de-viande-de-boeuf.jpeg,https://www.cuisineaz.com/
21,Lemon basboussa,Sugar (125 g) - Water (500 ml) - Lemon juice (1 tsp) - fine semolina (400 g) - Neutral oil (200 g) - Powdered sugar (200) - Milk (200) - Egg(s) (4) - Lemon juice (1) - Zeste (s) s of lemon (s) (1) - Baking powder (1 sachet) - Vanilla Sugar sachet (1 sachet),"The syrup: In a saucepan, mix the water, sugar and lemon juice.Boil 15 min then let cool.
- The cake: In a bowl, mix the oil, milk and eggs.Add the lemon juice, fine semolina, sugar, zest, baking powder and vanilla sugar.Mix again.
- Butter a baking dish and pour your dough into it.Bake 40 min at 180 ° C, until the surface of the cake is golden.
- Take the basboussa out of the oven and soak it with cold lemon syrup, in several times if necessary.Decorate at your convenience (grated coconut, almonds, pistachios, etc.) and place in the fridge for 4 hours minimum.
- Cut into small portions and serve with a mint tea.",30,40,70,https://img.cuisineaz.com/660x660/2022/02/18/i182953-basboussa-au-citron.jpeg,https://www.cuisineaz.com/
