,source,nom,description,nb_people,ingredients,method,image
10,https://www.mymoroccanfood.com/home/chebakia-and-white-chocolate-cookies,Chebakia and white chocolate cookies,"Oh la la, it’s already December! Have you started planning your meals for the holiday season? For now, I am pretty sure that chermoula oysters and turkey, cranberry & chestnut tagine will be on the menu. I am really struggling to find new canapés or bite-size-thingies ideas. Any tips welcomed!",Makes 24 cookies ,"4 tablespoons toasted sesame seeds  - 430gr plain flour - 1 ½ teaspoons baking powder - 1 ½ teaspoons baking soda - ½ teaspoon salt - ½ teaspoon ground cinnamon - ½ teaspoon ground aniseed - ½ teaspoon ground turmeric - 250ml unsalted butter, melted and cooled slightly  - 200gr brown sugar - 90gr granulated sugar - 2 large eggs  - 1 teaspoon vanilla extract - 200gr white chocolate pieces (chunks or chips) - 4 tablespoons clear honey - 2 tablespoons orange blossom water ","Use a pestle and a mortar or coffee grinder (or a small food processor) to finely ground the sesame seeds. Take care not to overgrind them, otherwise they could turn into sesame seed butter.  ",https://images.squarespace-cdn.com/content/v1/54d4153ce4b00c0e483c13a6/1544296845348-965CWPNMB6BAKNU53FT2/chebakia+white+chocolate+cookie+-5.jpg
11,https://www.mymoroccanfood.com/home/artichoke-tagine-with-peas-and-preserved-lemon-vegan,"Artichoke Tagine with Peas, Baby Potatoes and Preserved Lemon (vegan)","It's been a while since I've last posted a tagine recipe! Well, this mainly proves one thing: Moroccan cuisine is not only about tagines, don’t you think?  Not that I don't love love love our yummy stews but Moroccan food has so many other treasures to offer, like bastila, almond briouates or maakouda!Artichoke season started a few weeks ago in the UK and I couldn't resist but purchase these beautiful purple artichokes when I saw them. And the first thing that sprung to my mind when I got home was that I was going to *tagine* them!Traditionally artichoke tagine is prepared in Morocco with meat and green peas but I substituted the meat with baby potatoes because summer and occasional veganism habits plus potatoes and artichoke make a very very good match!It has green peas, plenty of spices, olives, and preserved lemon! It's satisfying, fragrant, citrusy and only takes one hour to prepare!On a side note, I am currently in Lebanon where I am enjoying and discovering tons of yummy foods! Enjoy this recipe while I go back to my favourite hobby: e a t i n g !",INGREDIENTS,"2 tablespoons olive oil - 2 large onions chopped or sliced (400 gr) - 2 teaspoons finely chopped garlic (about 2 to 3 cloves) - ½ teaspoon ground turmeric - ½ teaspoon ground dried ginger - ¾ teaspoon salt or more to taste - ¼ teaspoon ground black pepper - 1 ½ to 2 cups vegetable stock (300 ml to 450 ml) - 400 gr baby potatoes - 1 medium size preserved lemon - 10 medium size artichoke bottoms (600 gr) - 200 gr green peas - 150 gr red-brown olives, like kalamatas - Chopped coriander for garnish","• In a large casserole, heat the olive oil and add the onions over medium heat. Cover with a lid and leave the onions until they are soft and translucent, about 10 min. This will allow to sweat the onions.",https://images.squarespace-cdn.com/content/v1/54d4153ce4b00c0e483c13a6/1454852012206-8M19XH3T1RI21DMIPU1I/image-asset.jpeg
12,https://www.mymoroccanfood.com/home/brown-butter-and-orange-blossom-apple-galette-with-crumble-top,Brown butter and orange blossom apple galette with crumble top,"Oh hey friends! Happy autumn, fall, apple/pumpkin and all things cosy season! Every year, the blogger in me can’t resist but post a supper autumn-y recipe, after seeing hundreds of images of pumpkins and apples, how could I NOT share a recipe for one of these ingredients? It would make me a blogger who doesn’t care about seasons, right?",Serves 6  ,"60g unsalted butter  - 550g apples (about 4 medium ones), cored and sliced  - 50g g caster sugar - Juice of half a lemon (about 2 tablespoons) - 2 tablespoons plain flour  - 1 teaspoon orange blossom water - 1 teaspoon vanilla extract - ¼ heaped teaspoon salt  - 280g premade or store bought shortcrust pastry sheet    - Vanilla ice cream to serve, if desired ", For the crumble,https://images.squarespace-cdn.com/content/v1/54d4153ce4b00c0e483c13a6/1539813809726-HH47H1AM74UI7VJTX27Y/orange+blossom+apple+galette+with+crumble+top+-7.jpg
13,https://www.mymoroccanfood.com/home/artichoke-green-peas-and-preserved-lemon-salad,"Artichoke, green peas and preserved lemon salad","I know it’s been a very long time friends and I had genuine intentions to post this recipe a few weeks ago but as you probably noticed, summer happened and it made me postpone a few blog posts on my editorial calendar #sorrynotsorry.",INGREDIENTS,"3 tablespoons olive oil - 2 garlic cloves, peeled and crushed - 2 small preserved lemons, flesh and rind finely chopped - ½ teaspoon ground turmeric - ½ teaspoon ground ginger - 200g frozen green peas - 2 tablespoons finely chopped coriander - ¼ teaspoon salt, or more to taste - Generous pinch ground black pepper - 200g drained precooked artichokes, roughly chopped - 60g drained red-brown olives, such as Kalamata, pitted and roughly chopped","• Heat the olive oil in a large saucepan over a medium heat. Mix in the garlic, preserved lemon, ground turmeric and ground ginger and fry for a minute until the oil is fragrant.",https://images.squarespace-cdn.com/content/v1/54d4153ce4b00c0e483c13a6/1535795843190-071IRX6OS0M0K30ATI2H/Belazu+-1-2.jpg
14,https://www.mymoroccanfood.com/home/moroccan-mint-tea-infused-chocolate-truffles,Moroccan Mint Tea Infused Chocolate Truffles,Happy birthday MyMoroccanFood.com!!,INGREDIENTS,"250 ml double cream - 20 gr butter - 3 teaspoons loose gunpowder green tea leaves - A handful of fresh mint leaves - 200 gr dark chocolate (70%), chopped - 3 tablespoons honey - ½ teaspoon vanilla extract - 1 cup cocoa powder to coat the truffles",• In a deep skillet transfer the cream and the butter and bring to a boil. Remove from the heat and add the green tea and mint leaves. Leave to steep for 30 min.,https://images.squarespace-cdn.com/content/v1/54d4153ce4b00c0e483c13a6/1459535269056-IPVBZ8057YBU2Z52Q1JS/image-asset.jpeg
15,https://www.mymoroccanfood.com/home/bakoula-feta-and-pine-nuts-hand-pies,"Bakoula, feta and pine nuts hand pies ","We’ve had two to three good consecutive weeks of very nice weather and it finally feels like summer in London. I have to admit that some days were very briefly interrupted by a few hours of rain but nothing that lasted too long to bother us. I am so excited about this summer! We’ve planned a few trips and I am going to spend quite a lot of time in Morocco. I really miss those school days when my mom and I would spend two months in Morocco every year. By the end of the summer I was so sad to go back to Brussels, every single time! This year between travelling and work, I will be spending about three weeks in Rabat and Marrakech in July and August. I haven't spent that much time in Morocco in the summertime for years, so it’s safe to say that I am beyond excited.",Makes 8 hand pies,"2 tablespoons olive oil - 400g Swiss chard, stalks removed, leaves cut into strips 3cm wide - 2 tablespoons finely chopped flat leaf parsley - 1 tablespoons finely chopped fresh coriander - 1 tablespoons lemon juice - 2 garlic cloves, peeled and crushed - 1 teaspoons paprika - ½ teaspoon ground cumin - ¼ teaspoon salt, or more to taste - 60g feta, crumbled - 2 tablespoons pine nuts - 320g ready-rolled shortcrust pastry sheets - 1 egg, beaten to brush the pastry ",•   Preheat the oven to 220°C (200°C fan). ,https://images.squarespace-cdn.com/content/v1/54d4153ce4b00c0e483c13a6/1529534998290-KNLLG8FZQX9TSB6FTUQQ/Bakoula+feta+and+pinutes+handpies+-6.jpg
16,https://www.mymoroccanfood.com/home/orange-and-cardamom-ghriba-my-first-supper-club,Orange and Cardamom Ghriba,"I came back from Morocco a few days ago and this blog post couldn’t be better timed! Because, I have to tell you, this trip reminded me how beautiful my country is and I don’t think I mention it enough on this blog.",Makes 15 cookies,"200 gr plain flour - 80 gr caster sugar - 40 gr sesame seeds toasted and ground - Zest of 2 oranges - ½ teaspoon freshly ground cardamom - ½ teaspoon baking powder - ¼ teaspoon salt - 70 gr unsalted butter, softened - 70 ml flavourless oil such as sunflower or canola oil - ½ teaspoon vanilla extract",• Preheat oven to 170 C ( 335F). ,https://images.squarespace-cdn.com/content/v1/54d4153ce4b00c0e483c13a6/1523549872907-HIBY8FRL9DLIA58SA8D1/orange+and+cardamom+ghirba+bahla+-4.jpg
17,https://www.mymoroccanfood.com/home/rhubarb-ginger-and-rose-crumble,"Rhubarb, ginger and rose crumble ","I feel like I should say something along the lines of “happy almost spring” but it feels wrong because it’s freezing and it’s been snowing for the past two days. Oh well! The good part is, I did notice some beautifully blossoming trees in the streets of London these past weeks, so everything is not lost friends. I have even managed to put my hands on some Narcissus, which by the way I don’t think are particularly pretty but I have to admit that they do smell nice (and we do share the same name)!",Serves 6,"500 gr rhubarb - 10 gr unsalted butter for greasing - 45 gr ginger stem, finely chopped - 3 tablespoons syrup for the ginger stem jar - 5 tablespoons light brown sugar - 2 teaspoons rose water - 200 gr plain flour - pinch salt - ½ teaspoon ground ginger - 130 gr unsalted cold butter  - 70 gr caster sugar - Labneh, greek yoghurt, custard or ice cream to serve, if desired - Rose petals for garnish, if desired",• Preheat oven to 200 C / 400 F. Grease an oven proof dish with the butter and set aside (I used a 20 cm/8 inch round tin).,https://images.squarespace-cdn.com/content/v1/54d4153ce4b00c0e483c13a6/1521324811706-GQSCB1POVCX7J4A2LCGL/Rhubarb+ginger+and+rose+crumble+-10.jpg
18,https://www.mymoroccanfood.com/home/ras-el-hanout-sweet-potato-feta-mint-and-preserved-lemon-msemen-wrap,"Ras El Hanout Sweet Potato + Feta, Mint and Preserved Lemon Msemen Wrap","Book publication countdown is starting soon, by soon, I mean NEXT WEEK. Is it too early? When is it socially acceptable to start counting down the days to “an important event”? Casablanca will be out in the world in 10 weeks (but who’s counting?) and I will NOT stay calm. Did you know that you can now preview the book on amazon? There are about 10 recipes for you to see so you can have a feel of the book! If you live in the UK, please, please don’t forget to preorder your copy. And for my friends in the US, Canada, Australia, Germany, Holland and Spain, hang on with me, I will announce the publication dates for your countries ASAP.",Serves 5,"150 gr plain flour and more for kneading - 150 gr semolina flour and more for flouring  - ½ teaspoon salt - 120 to 170 ml lukewarm water - 4 tablespoons vegetable oil, divided and more for drizzling  - 20 gr melted butter","• In a large bowl mix all the flours, salt, 120 ml water and 2 tablespoons vegetable oil to form a dough. If the mixture is too dry and you can’t form a dough, add a couple tablespoons of water bit by bit. Make sure you don’t add too much water to the dough because it will make your dough very sticky and you won't be able to knead it. If that happens, add a bit of flour. When your dough is nicely done, lightly flour a worktop and knead for 15 minutes until light and soft.",https://images.squarespace-cdn.com/content/v1/54d4153ce4b00c0e483c13a6/1519139997886-XA3O10QOO2SC2HPHRNW7/Msemen+wrap+-1-2.jpg
19,https://www.mymoroccanfood.com/home/moroccan-medley-salad-bowl,Moroccan Medley Salad Bowl ,"What’s a Buddha bowl? Because I have been seeing many of them on the Internet these past 2 years and I still can’t figure out what it essentially is. I got the basic concept behind it: compartmenting your salad but then, is that it? Is there no other requirement to achieve a Buddha bowl? I really want to know.",Serves 4,"2 Avocados, chopped - 200 gr cherry tomatoes, halved - 1 batch of bakoula  - 1 batch of taktouka - 1 batch of carrot salad - 1 batch of preserved lemon and apricot couscous salad (recipe below) - A handful toasted flaked almonds, to serve  - Olive oil, to serve - 2 lemons, halved, to serve","• In a medium bowl, mix the avocado and the tomatoes to make a salad. Place a serving of each salad in 4 separate bowls; sprinkle each bowl with toasted flaked almonds. Serve immediately with olive oil and lemon halves on the side.",https://images.squarespace-cdn.com/content/v1/54d4153ce4b00c0e483c13a6/1517485882974-GXWPUCO94OO0BQ1H3V43/IMG_4990.jpg
20,https://www.mymoroccanfood.com/home/fekkas-cereals-mini-biscottis,Fekkas Cereals (Mini Biscottis),"For as long as I can remember, my mom, my brothers and I used to spend our summer holidays in Morocco. That was the sacred rule until I started doing internships and working, when I had to start counting my days off, and all of sudden, life got all serious and complicated #adultlife.",Serves  4,"180 gr plain flour and more for flouring  - 100 gr caster sugar - 3 tablespoons toasted sesame seeds - 1 teaspoon aniseeds - ½ teaspoon baking powder - Pinch salt - 30 ml vegetable oil - 1 large egg - 1 tablespoon orange blossom water - Desired choice and amount of dried fruits and nuts such as cranberry, pistachios and hazelnuts - Milk to serve",• Preheat the oven to 180 C (356 F),https://images.squarespace-cdn.com/content/v1/54d4153ce4b00c0e483c13a6/1515502533833-B0AKPG1J9RL1U8KTLSE5/Mini+fekkas+cereal+-11.jpg
21,https://www.mymoroccanfood.com/home/shrimp-preserved-lemon-and-saffron-mac-and-cheese,"Shrimp, preserved lemon and saffron mac and cheese","I am off to Beirut on Saturday evening and I have already started planning my Sunday morning breakfast. What should I start with? A chocolate and halawa pancake or my favourite kishk and cheese mankouche? This is so exciting, my stomach and I cannot wait!",INGREDIENTS,"50 gr unsalted butter - ¼ teaspoon paprika - 50 gr plain flour - 650 ml milk - 180 gr grated mature cheddar or Gruyere or mix of both + 4 tablespoons mature cheddar for topping - Salt and pepper to season - 2 tablespoons olive oil - 3 small preserved lemons, finely chopped - 3 garlic, peeled and crushed - 2 generous pinches of saffron - 300 gr shrimps, peeled and chopped - 350 gr macaroni - 3 tablespoons breadcrumbs, any type","• Start by making the white sauce. Melt the butter in a large deep skillet or saucepan over low heat, then add the flour and paprika. Stir vividly for 2 minutes using a wooden spoon until you obtain a smooth paste. For your information this paste is called a “roux”.",https://images.squarespace-cdn.com/content/v1/54d4153ce4b00c0e483c13a6/1513037547384-Y9FF6RG9XDULCQ4SDQ4Q/Shrimp%2C+preserved+lemon+and+saffron+mac+and+cheese+-4.jpg
22,https://www.mymoroccanfood.com/home/zaalouk-focaccia,Zaalouk Focaccia ,"Happy Friday and happy first day of the last month of the year! Can you believe it’s already December? How do you feel about 2018? I have a good feeling about it, but it’s probably because I have this weird habit of thinking that years which end with even numbers will always be better… So let’s see how 2018 turns out. Rendez-vous next year!",INGREDIENTS,"2 teaspoons dry yeast - 1 ½ teaspoon caster sugar - 300 gr plain flour and more for flouring - 7 tablespoons extra virgin olive oil, divided - 1 teaspoon salt - 160-200 ml warm water - One quantity of my zaalouk recipe - A handful chopped coriander and crumbled feta to serve",• Activate the dry yeast by adding ¼ teaspoon of sugar and a tablespoon of warm water in a small bowl. Stir with a fork and leave for 5 minutes to activate the dry yeast.,https://images.squarespace-cdn.com/content/v1/54d4153ce4b00c0e483c13a6/1511977456314-NW0QI141UG4WKO9R4SMD/IMG_4338.jpg
23,https://www.mymoroccanfood.com/home/saffron-vegan-chorba-with-roasted-aubergine-and-sweet-potatoes,Saffron Chorba with Roasted Aubergine and Sweet Potatoes (Vegan),"Hello from Tokyo where we’ve just spent the craziest few days. We arrived in Japan a week ago and it feels like we’ve been here for a whole month. It’s been so condensed and memorable, I wouldn’t even know where to start if had to describe our whole trip, I guess unforgettable is the word.",INGREDIENTS,"2 large sweet potatoes (2 x 250g) peeled and cut into 2 cm chunks - 2 large aubergines (2 x 250g) cut into 2 cm chunks - 2 tablespoons olive oil - 2 onions, finely sliced - 2 medium sized tomatoes, grated - 2 tablespoons tomato paste - ½ teaspoon ground turmeric - 2 very generous pinches of saffron - 1 teaspoon salt or more to taste - ½ teaspoon ground black pepper - 500 ml vegetable stock - 1 x 400 can chickpeas, rinsed and drained - 100 gr spaghetti broken into 3 cm long pieces - Chopped parsley and more for serving","• Preheat the oven to 200 C. Place the aubergine and the sweet potato chunks in a large roasting tray, drizzle with a bit of olive oil and sprinkle with a bit of salt. Transfer in the oven and bake until tender and golden, about 25 to 30 minutes. Set aside until ready to use.",https://images.squarespace-cdn.com/content/v1/54d4153ce4b00c0e483c13a6/1509413047960-0G577COSTLL3JCPZ6L9A/Vegan+chorba+with+roasted+aubergine+and+sweet+potatoes+-10.jpg
24,https://www.mymoroccanfood.com/home/merendina,Merendina,"Recipe development and blogging requires “a bit” of creativity. You want to make sure you come up with recipes your readers will like, but you also want to ensure that the recipes are not too hard to follow; don’t require challenging ingredients, are seasonal and super tasty. I have a file in my computer with about a thousand recipe “thoughts” where I have the most random recipe ideas such as Moroccan gyoza? (the question mark means I don’t think it’s a good idea) and Harissa and lemon chicken traybake! (the exclamation mark means I think it’s a great idea).",INGREDIENTS,200 gr 70% dark chocolate - 200 gr double cream - 50 gr icing sugar,"• Start with the ganache. In a medium sized saucepan, add in the double cream, chocolate and icing sugar over medium-low heat and leave stirring occasionally until the chocolate is melted and the mixture is well combined, about 5 minutes. Cover with cling film and place in the fridge until the ganache is spreadable, about 1 hour. After 1 hour remove it from the fridge otherwise, the ganache will become very hard and you won't be able to spread it.",https://images.squarespace-cdn.com/content/v1/54d4153ce4b00c0e483c13a6/1509017281643-1FZVW5LDIKM10Z238SFM/Merendina+-1-2.jpg
25,https://www.mymoroccanfood.com/home/lentil-stew-with-lamb-pumpkin-and-shallots,"Lentil Stew with Lamb, Pumpkin and Shallots ","I told you, pumpkin was bound to happen on the blog at some point this autumn. Nobody is complaining about that, right? It’s the season after all and yes, like all my other blogger friends I will make sure to post a new pumpkin recipe every year.",Serves 4 to 6 ,"4 tablespoons olive oil - 300 gr boneless braising lamb, trimmed of excess fat and cut in 3 cm chunks (i.e. shoulder, neck fillet, etc.) - 2 medium sized tomatoes, grated - 1 ½ teaspoon ground paprika - 1 teaspoon ground cumin - 1 teaspoon salt or more to taste - Generous pinch ground cayenne pepper (optional) - 300 ml chicken or vegetable stock - 300 gr shallots, peeled - 250 gr dry green lentils - Chopped coriander to serve (optional) - Harissa, to serve optional - 400 gr pumpkin or butternut squash, peeled and cut into 2cm chunks","• In a large saucepan, warm the olive oil over medium heat and add the lamb. Cook the meat, stirring occasionally for 5 to 10 minutes to lightly brown the meat.",https://images.squarespace-cdn.com/content/v1/54d4153ce4b00c0e483c13a6/1507638989733-UF2CQJFC2C5K6T4KN1TD/Lentil%2C+pumpkin+and+shallots+stew+-4.jpg
