name,ingredients,instructions,preparation_time,cooking_time,,total_time,image_url,source
Msemen Marocains.,500 g de farine de blé1 cuillère à.café de sel25 cl d'eau tiède1 bol d'huile neutre ou mélange huile/beurreun bol de semoule1 cuillère à.café de levure fraîche.,"Faites chauffer une plaque/poêle à fond épais, en fonte ou en terre cuite, huilez légèrement et faite dorer les Msemens sur les 2 faces.On peut aussi les farcir avant de les plier et de les cuire, par exemple d'un mélange d'oignon , de persil, de morceaux de viande boucanées et d'épices.",15 min,4 min,,19 min,https://www.ptitchef.com//imgupl/recipe/msemen-marocains--md-398701p630833.jpg,https://www.ptitchef.com//recettes/autre/msemen-marocains-fid-868667
Certainement le meilleur plat du Maghreb connu à ce jour,,,,,,,,https://www.ptitchef.com//dossiers/recettes/certainement-le-meilleur-plat-du-maghreb-connu-a-ce-jour-aid-3032
Beignets Marocains au sucre et à la cannelle,500 g de farine1 cuillère à soupe de sucre en poudre1/2 cuillère à café de sel fin1 sachet de sucre vanillé1 oeuf1 et 1/2 cuillère à café de levure boulangère diluée + 1 cuillère à café de sucre1 grand verre d'eau tièdesucre en poudresucre glacesucre à la cannelle pour la décoration,"Faire mousser la levure boulangère avec la cuillère à café de sucre dans un peu d'eau tiède.Disposer, dans un récipient plat, la farine tamisée, le sucre, le sel, le sucre vanillé, l'oeuf et la levure boulangère diluée.Mélanger bien le tout en ajoutant de l'eau tiède jusqu'à obtention d'une pâte homogène.Bien pétrir le tout jusqu'à ce que la pâte ne colle plus.Sur un plan de travail fariné, abaisser la pâte sur une épaisseur d'environ 6 mm et découper des ronds à l'aide d'un verre ou d'un emporte-pièce puis évider le centre avec un emporte-pièce plus petit pour obtenir des anneaux.Disposer les beignets sur un plateau fariné en prennant soin de les espacer et les laisser lever jusqu'à ce qu'ils doublent de volume.Faire chauffer un bai de friture puis faire frire les beignets dans une huile chaude mais non brulante pour que les beignets cuisent également de l'intérieur.A mi cuisson, retourner les beignets pour qu'ils dorent des deux côtés et les faire égoutter dans une passoire puis les enrober de sucre cannelle.",15 min,10 min,,25 min,https://www.ptitchef.com//imgupl/recipe/beignets-marocains-au-sucre-et-a-la-cannelle--md-381218p610023.jpg,https://www.ptitchef.com//recettes/dessert/beignets-marocains-au-sucre-et-a-la-cannelle-fid-719754
Biscuits marocains à la marmelade d'oranges amères et aux noix,"2 oeufs + 1 pour la dorure100 grammes de sucre0,5 dl de jus d'orange0,5 dl d'huile végétale360 grammes de farine1 sachet de levure chimique1 pincée de sel100 grammes de cerneaux de noix concassés60 grammes de marmelade d'orange amères","Battre 2 oeufs avec le sucre, le jus d'orange et l'huile. Ajouter la farine tamisée, la levure et la pincée de sel, bien mélanger jusqu'à l'obtention d'une pâte homogène, partager en 4 morceauxEtaler chaque morceau finement en abaisse de 3-4 mm d'épaisseur. Répartir la marmelade d'oranges amères sur les abaisses, parsemer les cerneaux de noix concassésRouler en boudins les abaisses garnies et mettre sur une plaque tapissée d'un papier sulfuriséCuire 15 minutes dans le four préchauffé à 160 degrésEnvelopper délicatement les boudins dans des linges propres et humides. Laisser reposer 1 heureCouper en tronçons de 1 cm et disposer les biscuits sur une plaque garnie d'un papier sulfurisé. Faire dorer dans le four préchauffé à 180 degrés 15 - 20 minutesLaisser refroidir avant de ranger les biscuits dans une boîte hermétique",25 min,20 min,,45 min,https://www.ptitchef.com//imgupl/recipe/biscuits-marocains-a-la-marmelade-d-oranges-ameres-et-aux-noix--md-84306p119170.jpg,https://www.ptitchef.com//recettes/autre/biscuits-marocains-a-la-marmelade-d-oranges-ameres-et-aux-noix-fid-43411
"KRACHEL "" petits pains sucré Marocains""",500 g de farine1 cube de levure fraîche de boulangerie1 tasse de graines de sésames1 c à soupe d' anis100 g de beurre fondu1 jaune d' oeuf pour dorer1  bonne pincée de sel150 g de sucre en poudre environeau tiède,"Verser la farine, le sel, le sucre, et les graines de sésames, l' anis dans un grand plat. Diluer la levure dans un peu d' eau tiède.Faire un puis dans la farine et y verser la levure dilué, mélanger, ajouter le beurre fondu, puis ajouter de l' eau jusqu'à l' obtention d' une boule de pâte homogène et malléable comme celle d' une brioche. Pétrir vigoureusement pendant 10 minutes environ. Laisser lever la pâte 1 heure dans un endroit chaud recouvert de film alimentaire , elle doit doubler de volume.Quand la pâte à levé, la pétrir légèrement puis la partager en boules de la taille d' une grosse tomate. Placer les boules sur une plaque recouverte de papier cuisson et aplatir les boules avec la paume de la main huilé pour obtenir des galettes de 0,5 à 1 cm d' épaisseur.Laisser lever 30 minutes les galettes recouverte d' un linge humide dans un endroit chaud.Après la deuxième levée badigeonner les galettes de jaune d’œuf, les piquer plusieurs fois avec une fourchette et parsemer dessus quelques graines de sésames pour décorer.Faire cuire immédiatement dans un four chaud (180 °C / TH6). Laisser cuire 15 à 20 minutes en surveillant la cuisson, si il cuisent trop il seront sec.",120 min,20 min,,140 min,https://www.ptitchef.com//imgupl/recipe/krachel-petits-pains-sucre-marocains--md-83667p118088.jpg,https://www.ptitchef.com//recettes/autre/krachel-petits-pains-sucre-marocains-fid-42146
Les fekkas marocains,1 kg de farine250 g de sucre250 g d'amandes moulues150 g de beurre6 oeufs200 g de raisins secs2 cuillères à soupe d'anis2 sachets de levure chimique10 ml d'eau de fleur d'oranger100 g de chocolat râpé1 jaune d’oeuf et un sachet de nescafé pour la garniture,"Bien mélanger les œufs et le sucre, ajouter le beurre fondu (ou la même quantité d'huile), l'eau de fleur d'oranger, ajouter progressivement la farine tamisée avec la levure, les amandes, le chocolat, les raisins secs et l'anis. On obtient une bonne pâte ferme et facile à modeler.Faire des boudins de 4 à 5 cm de diamètre, les badigeonner avec le mélange œuf et nescafé, faire un petit décor à la fourchette (des lignes dans tous les sens).Enfourner pendant 12 minutes, une sorte de mi-cuisson, les sortir du four et les laisser bien refroidir.Les couper ensuite en tranches et les remettre au four pour les dorer des deux côtés.",15 min,22 min,,37 min,https://www.ptitchef.com//imgupl/recipe/les-fekkas-marocains--md-102236p150359.jpg,https://www.ptitchef.com//recettes/autre/les-fekkas-marocains-fid-70422
"Pain marocain farcie "" madfouna de Tafilalet ""","300g de farine300 g de semoule de blé extra fine1 c à s de levure boulangère1 c à c de sel1 c à s dhuile dolive1 c à c de sucre1 c à c d'anisEau tiède pour ramasser la pâte400g de viande haché200 g de filet de buf (où autre coupés en dés)Environ 100 de graisse coupé en dés .5 oignon haché2 c à s de concentré de tomates2 cs  coriandre frais2 cs persil frais1 cs paprika1 c à c  de coriandre moulu1 c à c de cumin moulue1 cc  de cardamome moulue1/5 cc de noix de muscade1/5 cc de piment d'espelette1/5 cc de gingembrepoivre, sel","Préparation de la farce :  Débuter par la farce pour lui laisser le temps de refroidir ,faites rissoler les oignons haché dans 1 cs dhuile dolive environ 10 mn ajouter, le filet de buf , ensuite la graisse , le viande haché, saler et poivrer ajouter le concentré de tomates, le coriandre et le persil et tous les épices mouiller de 3 grands verres d'eau et laisser cuir tout en remuant de temps en temps,poursuivre la cuisson environ 30 mn jusqu'à complète absorption de la sauce,éteindre le feu et ajouter encore de la coriandre et du persil ciselé,réservez et laisser refroidir de côté.   Préparation du pain :  Tamiser la farine et mélanger avec la semoule, ajouter l'huile d'olive, le grain d'anis le sel et la levure délayée dans un peu deau avec le sucre , Et hop dans le pétrin ajouter leau tiède progressivement et bien pétrir environ 15 min pour obtenir une bonne pâte souple et qui ne colle pas , former ensuite 2 boules égales et laisser reposer jusquà ce quelle double de volume,étaler chaque pâton en forme de cercle directement sur votre plateau de cuisson, et laisser lever environ 1 heure Chauffer le four a 250 Étalez votre farce sur un pain et recouvrir avec l'autre cercle de pâte souder bien les deux cercles Saupoudrer d'un peu de semoule et les piquer avec une fourchette et hop au four Cuire jusquà ce quils soient bien dorés servir aussitôt avec un thé a l' a menthe un pur délice !!!",60 min,45 min,,105 min,,https://www.ptitchef.com//recettes/plat/pain-marocain-farcie-madfouna-de-tafilalet-fid-1236687
"Meskouta, gâteau marocain léger à l'orange","1 verre de vrai bon jus d'orange1/2 verre d'huile1 1/2 verres de sucre semoule3 verres de farine1 sachet de levure chimique soit 2 cuillères à café3 oeufsQuelques gouttes d'extrait, arôme d'orange","Préchauffer le four à 180°. Sulfurisée le moule ou le beurrer et fariner sauf s'il est en silicone.Dans un grand bol, bien fouetter les oeufs et le sucre. Ajouter en filet, l'huile tout en fouettant puis le jus d'orange et les quelques gouttes d'extrait, arôme d'orange.A part, mélanger la farine et la levure puis verser en deux fois dans le mélange des liquides. Bien mélanger le tout.Verser dans le moule préalablement paré et cuire entre 30 à 45 minutes à 180°.Une fois le gâteau cuit, laisser totalement refroidir.Laisser totalement refroidir avant de couper en parts pour déguster.",10 min,45 min,,55 min,https://www.ptitchef.com//imgupl/recipe/meskouta-gateau-marocain-leger-a-l-orange--md-374987p602418.jpg,https://www.ptitchef.com//recettes/dessert/meskouta-gateau-marocain-leger-a-l-orange-fid-681345
Riz au lait marocain,120 g de riz à grain rond75 cl de lait50g sucre semoule40g de pistaches vertes30g de beurre15 cl miel liquide2CS crème fraiche2CS jus citron1CS fleur d'oranger,"Cuisinez le riz 3min dans l'eau bouillante et egouttez le. Faites bouillir le lait, ajoutez le riz et laissez fremir jusqu'à ce que le liquide soit absorbé. Incorporez le beurre, la crème, les pistaches emincées, le sucre semoule et l'eau de fleur d'oranger. Mélanger 2min.  Répartissez dans des coupelles 10cl de miel liquide tiédi avec le jus de citron, ajoutez le riz et versez 5cl de miel en filet. Servez tiède ou froid.",15 min,35 min,,50 min,,https://www.ptitchef.com//recettes/dessert/riz-au-lait-marocain-fid-1317121
Cake marocain.......une sacrée réussite,100 g de poudre d'amandes180 g de sucre en poudre + 50 g50 g de chapelure4 oeufs20 cl d'huile de tournesol1 citron1 orange2-3 pincées de cannelle1.5 cuillère à café de levure chimique,"Préchauffez le four à th6 (180°). Dans un saladier, mélangez la chapelure aves le sucre, la poudre d'amandes, la cannelle et les zestes râpés de l'orange et du citron.Battez les oeufs avec l'huile et incorporez-les peu à peu à la chapelure.Versez dans un moule à cake antiadhésif de 26 cm beurré et fariné. Glissé le 45 minutes au four.Pendant ce temps, versez les jus d'orange et citron et 50 g de sucre dans une casserole et portez à ébullition pendant 3 minutes.",20 min,48 min,,68 min,,https://www.ptitchef.com//recettes/dessert/cake-marocain--une-sacree-reussite-fid-53471
Pain soleil marocain ou tournesol à l'huile d'olive,500 g de farine ( ici fluide mais peu importe )2 cuillères à soupe de levure instantanée1 cuillère à café de sel2 cuillères à soupe d'huile d'oliveeau tiède jusqu'à formation d'une boule de pâtejaune d’oeuf + 1 cuillère à soupe d'huile d'olive pour la doruregraines de sésame pour le décor,"Mélangez les ingrédients en ajoutant l'eau tiède petit à petit jusqu'à formation d'une boule. La pétrir pendant 10 minutes jusqu'à ce qu'elle devienne souple et lisse.Laisser lever en la couvrant environ 1 heure. La dégazer ensuite diviser en 2 boules dont la petite environ la taille d'une orange.Aplatir la grosse boule avec les mains jusqu'à obtenir un diamètre de 22 cm. Badigeonner la lame de votre couteau avec de l'huile ( astuce pour découper bien net ) et faire des incisions.N'hésitez pas à bien couper et à repasser le couteau si besoin. En partant du centre vers les bords vous obtenez une sorte de croix.Soulever les extrémités et les sortir vers l'extérieur. Poser la petite boule au centre, couvrir et laisser lever encore 1 heure environ.Badigeonner au jaune d’œuf , faire des incisions. Sur ""les pétales"" et parsemer le centre de graines de sésames.Enfournez à four chaud à 180 pendant environ 20 minutes.",120 min,20 min,,140 min,https://www.ptitchef.com//imgupl/recipe/pain-soleil-marocain-ou-tournesol-a-l-huile-d-olive--md-75301p103863.jpg,https://www.ptitchef.com//recettes/autre/pain-soleil-marocain-ou-tournesol-a-l-huile-d-olive-fid-25401
Poulet marocain,1 poulet entier2 patates douces2 oignons2 échalottes2 citrons non traités3 cuillères à soupe de sucre en poudre1 cuillère à café de cannelle2 cuillères à café de Raz el hanout1 cuillère à soupe d'huile d'olive2 gousses d'ail,"Dans un fait-tout, versez l'huile d'olive, et faîtes dorer le poulet.Pendant ce temps, épluchez les oignons, les échalottes, les patates douces et coupez les en grosses rondelles. Ajoutez les dans le fait-tout.Saupoudrez d'épices: cannelle, Raz el Hanout, sucre.Hachez l'ail, lavez les citrons coupez en 1 en 8 quartiers et pressez le jus de l'autre. Ajoutez au poulet.Couvrez et laissez mijotez à feu doux 40 minutes environ.Découpez le poulet.",5 min,40 min,,45 min,,https://www.ptitchef.com//recettes/plat/poulet-marocain-fid-630831
