name,ingredients,preparation_time,cooking_time,total_time,image_url,source
Crêpes marocaines (Msemen) : la meilleure recette,650 g Farine - 1 c à c Sel - 350 ml Eau tiède - 50 g Beurre doux fondu - 40 cl Huile de tournesol,30 mn,5 mn,1 h 25 mn,https://img-3.journaldesfemmes.fr/ej6prJLKL0fVdAlmyg7z_s8YU0E=/750x500/a2ddfa2e8e0c4d1291919790c3612e27/ccmcms-jdf/39880302.jpg,https://cuisine.journaldesfemmes.fr/recette/355136-crepes-marocaines-msemen
Salade de pois chiches à l'orientale,250 g pois chiches au naturel - 2 Tomate grappe - 1/2 c à c graines de cumin,15 mn,0 mn,15 mn,https://img-3.journaldesfemmes.fr/0_TDmtJJSt6jYY12nZtL8NLWOV8=/750x500/12591da908c64b88b45b546f087b3e11/ccmcms-jdf/39907558.jpg,https://cuisine.journaldesfemmes.fr/recette/323015-salade-de-pois-chiches-a-l-orientale
Couscous royal marocain traditionnel : la recette facile,1 kg semoule à couscous calibre moyen - 1 kg Agneau épaule - 1 kg Poulet pilons - 1 kg merguez - 150 g Pois chiche - 500 g Navet - 500 g Carotte - 500 g Courgette - 2 Oignon - 1 Tomate râpée - 1 c à c safran - 1 c à c piment doux - 1 bouquet Coriandre - 200 g Beurre -  Sel -  Poivre,45 mn,1 h,1 h 45 mn,https://img-3.journaldesfemmes.fr/tpJvQ_wIBoCVUkLXEafw989xYaY=/750x500/3d9290e86b9d4d1dae72ff12e8f29554/ccmcms-jdf/39870165.jpg,https://cuisine.journaldesfemmes.fr/recette/348292-couscous-royal-la-meilleure-recette
Poulet au citron,1 kilo poulet (déjà coupé) - 2 Oignon - 4 gousses ail - 1/2 cube bouillon de poulet - 1 poignée persil - 1/2 botte coriandre - 2 c à c gingembre en poudre - 2 c à c cannelle en poudre - 1 c à c cumin moulu - 1/2 c à c colorant alimentaire ou une pincée de safran - 1 citron - 1 verre olive verte - 1/2 verre huile d'olive -  Poivre -  Semoule ou pain,20 mn,1 h,2 h 20 mn,https://img-3.journaldesfemmes.fr/OBK_GqqSgCkTFcX_QLqW_2DTBLE=/750x500/43c6199051794c39a2722a45726920e1/ccmcms-jdf/39884147.jpg,https://cuisine.journaldesfemmes.fr/recette/352214-poulet-au-citron
Tajine de poulet marocain : la meilleure recette,8 Cuisse de poulet - 200 g Citron confit - 200 g Abricot sec - 2 Oignon - 1 gousse Ail - 1 cube Bouillon de poule -  Coriandre -  Cannelle -  Cumin -  Curcuma -  Safran -  Gingembre -  Piment -  Sel -  Poivre,30 mn,1 h,1 h 30 mn,https://img-3.journaldesfemmes.fr/navsR1KcoKigGrg1zwCeYFZYUHs=/750x500/f757cc0c43e947b3a509bd31ef90c768/ccmcms-jdf/39888315.jpg,https://cuisine.journaldesfemmes.fr/recette/351658-tajine-de-poulet-aux-citrons-confits-et-abricots
Tajine d'agneau aux légumes : la meilleure recette,1 kg Épaule d'agneau désossée - 4 Aubergine - 4 Courgette - 1 Tomate - 1 Oignon - 200 g Pois chiches cuits en bocal - 100 g Olive tailladée violette - 2 Citron confit - 1 c à s Cumin en poudre - 1 c à s Gingembre en poudre - 1 c à c Piment fort en poudre -  Poivre - 6 c à s Huile d'olive -  Coriandre fraîche (facultatif),20 mn,2 h,2 h 20 mn,https://img-3.journaldesfemmes.fr/qdc-KyX3cZnJHWs2TmX83IL42h0=/750x500/4fe301a9b20e4d3285fa99f78c89e3d3/ccmcms-jdf/39868709.jpg,https://cuisine.journaldesfemmes.fr/recette/339212-tajine-d-agneau-aux-legumes
Couscous aux légumes : la recette facile,1 Courgette - 1 Poivron rouge - 1 Poivron jaune - 4 Carotte - 350 g Pois chiches - 1 Oignon - 3 verres Purée de tomate -  Sauce soja (facultatif) - 2 verres Semoule - 2 verres Eau - 40 g Beurre - 4 pincées Sel,20 mn,30 mn,50 mn,https://img-3.journaldesfemmes.fr/fLM7p9itgEnriRtreV-0pmesO2A=/750x500/2af381ea1e92405a8c43f91396abf523/ccmcms-jdf/39949768.jpg,https://cuisine.journaldesfemmes.fr/recette/315245-couscous-aux-legumes
Bricks à la viande hachée à la marocaine : la recette facile,200 g Viande hachée - 1 Pomme de terre - 1 Oignon - 15 feuilles Menthe fraîche -  Sel poivre - 1/2 c à c Cumin (facultatif) - 1 c à c Piment en poudre - 1 Oeuf -  Huile pour friture,25 mn,10 mn,35 mn,https://img-3.journaldesfemmes.fr/wTA9kGwyiAlqhKibY-wqEUXwmLI=/750x500/6f85180d0fb34405863b2a2342fbd25c/ccmcms-jdf/39949936.jpg,https://cuisine.journaldesfemmes.fr/recette/309167-bricks-a-la-viande
Batbout moelleux à la marocaine : la recette rapide,"250 g Farine de blé - 100 g Farine blanche ( semouline ) - 0,25 c à c Sel - 1 c à s Levure boulangère - 1 verre Eau tiède",30 mn,5 mn,1 h 35 mn,https://img-3.journaldesfemmes.fr/xRXFt60tPEw5T_xHrmF26SHD7ZE=/750x500/d2760f121dd44afd8b4a4cf88171b088/ccmcms-jdf/39953618.jpg,https://cuisine.journaldesfemmes.fr/recette/316996-batbout-nature
Crêpes mille trous inratables : la recette facile,1 verre Farine - 2 verres Semoule fine - 1 c à s Levure boulangère - 1/2 c à c Sel - 1 sachet Levure chimique - 4 verres Eau tiède,10 mn,20 mn,50 mn,https://img-3.journaldesfemmes.fr/PcruRPTSBvaxr9qEYKIpwSJ7xhA=/750x500/3f3a8616cf7b467a843f57062175bb7d/ccmcms-jdf/39953633.jpg,https://cuisine.journaldesfemmes.fr/recette/319138-crepes-mille-trous
Tajine d'agneaux aux pommes,2 Pommes Pink Lady - 1/2 Citron -  Poivre -  Sel - 3 c à s Huile d'olive - 2 c à s Miel - 20 g Beurre - 30 g Amandes effilées - 1 c à c Piment doux - 2 gousses Ail - 250 ml Eau - 30 g Raisin sec blond - 2 Carottes - 1/2 c à c Cannelle - 600 g Epaule d'agneau - 2 Oignons doux - 2 cm Racine de gingembre - 1 c à c Cumin - 1 c à c Coriandre en poudre - 1 c à c Curcuma - 2 pistils Safran - 4 Pommes de terre - 8 Abricots secs - 8 Figues séchées - 1 c à s Eau de fleur d'oranger - 6 branches Coriandre fraîche,15 mn,2 h,2 h 15 mn,https://img-3.journaldesfemmes.fr/t37jCN2o3f8ZxsEw0dExCE8P5AI=/750x500/50e80b84a35143e391fdf4515f474231/ccmcms-jdf/39689304.jpg,https://cuisine.journaldesfemmes.fr/recette/3100237-tajine-d-agneaux-aux-pommes
Salade de couscous aux épices douces et citron confit,400 g Filet de poulet - 1/2 Citron confit - 10 Olives vertes dénoyautées - 1 poignée Amandes mondées - 1/2 Citron le jus - 4 c à s Huile d'olive une quantité suffisante pour le poulet - 1 branche Persil plat -  Sel -  Poivre,30 mn,10 mn,45 mn,https://img-3.journaldesfemmes.fr/UgBZJWhqC2jVYIimwhdqxGv18Bg=/750x500/dc9059eb73434f489a4ff8779df59488/ccmcms-jdf/39699670.jpg,https://cuisine.journaldesfemmes.fr/recette/3111767-salade-de-couscous-aux-epices-douces-et-citron-confit
Pain pita maison et ses falafels,250 g Farine de blé - 12 g Levure fraîche de boulanger - 15 cl Eau - 5 g Sel - 1 c à s Huile d'olive,45 mn,30 mn,1 h 15 mn,https://img-3.journaldesfemmes.fr/9TZH3f_3h72u8C9Ojiz4yo4RmAo=/750x500/18a0e7cb25384da588b3a0e532a847dd/ccmcms-jdf/39704964.jpg,https://cuisine.journaldesfemmes.fr/recette/3118530-pain-pita-maison-et-ses-falafels
Houmous au maïs,1 petite boîte Pois chiches d'aucy (130g poids net égoutté) - 15 c à s Tahini - 1/2 Citron - 1 petite gousse Ail - 1 c à c Cumin - 3 c à s Huile d'olive - 1 pincée Piment d'Espelette -  Fleur de sel -  Poivre,15 mn,0 mn,15 mn,https://img-3.journaldesfemmes.fr/Kqmywpa0gnNbyR5MZpLhOCR2B80=/750x500/1d96d9a92222458abdec2f57e19ab063/ccmcms-jdf/39689119.jpg,https://cuisine.journaldesfemmes.fr/recette/3099979-houmous-au-mais
Chakchouka sans oeufs,1 Courgette - 1 oignon émincé - 1 poivron rouge - 2 petites tomates - 1 tofu soyeux - 1 Coriandre - 1 Ail - 100 g purée ou coulis de tomate - 1 Raz el hanout - 1 sel et poivre - 1 Huile d'olive,15 mn,30 mn,45 mn,https://img-3.journaldesfemmes.fr/7V-hpoHzA7qoho3waXqm0xi9C1I=/750x500/381f395070154b238cfe5244fbee0bf2/ccmcms-jdf/39697181.jpg,https://cuisine.journaldesfemmes.fr/recette/3108671-chakchouka-sans-oeufs
Couscous de chou-fleur aux épices,1 Chou fleur - 400 g Haricot rouge en conserve - 130 g Fruits secs (raisins secs et ou abricots secs ou même dattes) - 1 poignée Persil - 2 c à s Huile d'olive - 1 c à s Curcuma - 1 c à s Cumin en poudre - 1 c à s Cannelle - 1 c à s Paprika - 4 c à s Tahini (pour servir) - 1 Citron (pour servir),30 mn,10 mn,40 mn,https://img-3.journaldesfemmes.fr/jsJ54vWFAcIzOvTXxTk_PTfsrkk=/750x500/d139d426e2e44e0faba56a5d327d3e5d/ccmcms-jdf/39683138.jpg,https://cuisine.journaldesfemmes.fr/recette/3092469-couscous-de-chou-fleur-aux-epices
Croustillants de sardine en brick,,20 mn,0 mn,20 mn,http://graph.benchmark.fr/linternaute/sante/2/7/6/7/0/0/7672_826953.png,https://sante.journaldesfemmes.fr/genital-urinaire/1024882-comment-vous-vivez-votre-menopause/1024886-duree
Croustillants de sardine en brick,1 boîte Sardine aux poivrons grillés LA PERLE DES DIEUX -  Tapenade d'olives noires,20 mn,0 mn,20 mn,https://img-3.journaldesfemmes.fr/EC-MJooLH9bHYUj-Ek0dH-3ZbGY=/750x500/4c41a5df5d3e404e8f518d09829e2bf2/ccmcms-jdf/39704636.jpg,https://cuisine.journaldesfemmes.fr/recette/3118094-croustillants-de-sardine-en-brick
Lapin au yaourt à l'orientale,3 barquettes de 2 cuisses Lapin Bien - 2 Yaourts veloutés - ½ Citron - 1 c à s Curry en poudre - 1 c à c Cumin en poudre,10 mn,35 mn,1 h 45 mn,https://img-3.journaldesfemmes.fr/1rJvh2VrBvZl9rzHt-Og2riWL24=/750x500/dbfbde92ac84442cb325ac33937b3c80/ccmcms-jdf/39683654.jpg,https://cuisine.journaldesfemmes.fr/recette/3091175-lapin-au-yaourt-a-l-orientale
