name,ingredients,instructions,preparation_time,cooking_time,total_time,image_url,source
Chebakia and white chocolate cookies,"4 tablespoons toasted sesame seeds  - 430gr plain flour - 1 ½ teaspoons baking powder - 1 ½ teaspoons baking soda - ½ teaspoon salt - ½ teaspoon ground cinnamon - ½ teaspoon ground aniseed - ½ teaspoon ground turmeric - 250ml unsalted butter, melted and cooled slightly  - 200gr brown sugar - 90gr granulated sugar - 2 large eggs  - 1 teaspoon vanilla extract - 200gr white chocolate pieces (chunks or chips) - 4 tablespoons clear honey - 2 tablespoons orange blossom water ","Use a pestle and a mortar or coffee grinder (or a small food processor) to finely ground the sesame seeds. Take care not to overgrind them, otherwise they could turn into sesame seed butter.  ",30,120,150,https://images.squarespace-cdn.com/content/v1/54d4153ce4b00c0e483c13a6/1544296845348-965CWPNMB6BAKNU53FT2/chebakia+white+chocolate+cookie+-5.jpg,https://www.mymoroccanfood.com/home/chebakia-and-white-chocolate-cookies
"Artichoke Tagine with Peas, Baby Potatoes and Preserved Lemon (vegan)","2 tablespoons olive oil - 2 large onions chopped or sliced (400 gr) - 2 teaspoons finely chopped garlic (about 2 to 3 cloves) - ½ teaspoon ground turmeric - ½ teaspoon ground dried ginger - ¾ teaspoon salt or more to taste - ¼ teaspoon ground black pepper - 1 ½ to 2 cups vegetable stock (300 ml to 450 ml) - 400 gr baby potatoes - 1 medium size preserved lemon - 10 medium size artichoke bottoms (600 gr) - 200 gr green peas - 150 gr red-brown olives, like kalamatas - Chopped coriander for garnish","• In a large casserole, heat the olive oil and add the onions over medium heat. Cover with a lid and leave the onions until they are soft and translucent, about 10 min. This will allow to sweat the onions.",20,23,43,https://images.squarespace-cdn.com/content/v1/54d4153ce4b00c0e483c13a6/1454852012206-8M19XH3T1RI21DMIPU1I/image-asset.jpeg,https://www.mymoroccanfood.com/home/artichoke-tagine-with-peas-and-preserved-lemon-vegan
Brown butter and orange blossom apple galette with crumble top,"60g unsalted butter  - 550g apples (about 4 medium ones), cored and sliced  - 50g g caster sugar - Juice of half a lemon (about 2 tablespoons) - 2 tablespoons plain flour  - 1 teaspoon orange blossom water - 1 teaspoon vanilla extract - ¼ heaped teaspoon salt  - 280g premade or store bought shortcrust pastry sheet    - Vanilla ice cream to serve, if desired ", For the crumble,36,62,98,https://images.squarespace-cdn.com/content/v1/54d4153ce4b00c0e483c13a6/1539813809726-HH47H1AM74UI7VJTX27Y/orange+blossom+apple+galette+with+crumble+top+-7.jpg,https://www.mymoroccanfood.com/home/brown-butter-and-orange-blossom-apple-galette-with-crumble-top
"Artichoke, green peas and preserved lemon salad","3 tablespoons olive oil - 2 garlic cloves, peeled and crushed - 2 small preserved lemons, flesh and rind finely chopped - ½ teaspoon ground turmeric - ½ teaspoon ground ginger - 200g frozen green peas - 2 tablespoons finely chopped coriander - ¼ teaspoon salt, or more to taste - Generous pinch ground black pepper - 200g drained precooked artichokes, roughly chopped - 60g drained red-brown olives, such as Kalamata, pitted and roughly chopped","• Heat the olive oil in a large saucepan over a medium heat. Mix in the garlic, preserved lemon, ground turmeric and ground ginger and fry for a minute until the oil is fragrant.",30,38,68,https://images.squarespace-cdn.com/content/v1/54d4153ce4b00c0e483c13a6/1535795843190-071IRX6OS0M0K30ATI2H/Belazu+-1-2.jpg,https://www.mymoroccanfood.com/home/artichoke-green-peas-and-preserved-lemon-salad
Moroccan Mint Tea Infused Chocolate Truffles,"250 ml double cream - 20 gr butter - 3 teaspoons loose gunpowder green tea leaves - A handful of fresh mint leaves - 200 gr dark chocolate (70%), chopped - 3 tablespoons honey - ½ teaspoon vanilla extract - 1 cup cocoa powder to coat the truffles",• In a deep skillet transfer the cream and the butter and bring to a boil. Remove from the heat and add the green tea and mint leaves. Leave to steep for 30 min.,23,81,104,https://images.squarespace-cdn.com/content/v1/54d4153ce4b00c0e483c13a6/1459535269056-IPVBZ8057YBU2Z52Q1JS/image-asset.jpeg,https://www.mymoroccanfood.com/home/moroccan-mint-tea-infused-chocolate-truffles
"Bakoula, feta and pine nuts hand pies ","2 tablespoons olive oil - 400g Swiss chard, stalks removed, leaves cut into strips 3cm wide - 2 tablespoons finely chopped flat leaf parsley - 1 tablespoons finely chopped fresh coriander - 1 tablespoons lemon juice - 2 garlic cloves, peeled and crushed - 1 teaspoons paprika - ½ teaspoon ground cumin - ¼ teaspoon salt, or more to taste - 60g feta, crumbled - 2 tablespoons pine nuts - 320g ready-rolled shortcrust pastry sheets - 1 egg, beaten to brush the pastry ",•   Preheat the oven to 220°C (200°C fan). ,39,79,118,https://images.squarespace-cdn.com/content/v1/54d4153ce4b00c0e483c13a6/1529534998290-KNLLG8FZQX9TSB6FTUQQ/Bakoula+feta+and+pinutes+handpies+-6.jpg,https://www.mymoroccanfood.com/home/bakoula-feta-and-pine-nuts-hand-pies
Orange and Cardamom Ghriba,"200 gr plain flour - 80 gr caster sugar - 40 gr sesame seeds toasted and ground - Zest of 2 oranges - ½ teaspoon freshly ground cardamom - ½ teaspoon baking powder - ¼ teaspoon salt - 70 gr unsalted butter, softened - 70 ml flavourless oil such as sunflower or canola oil - ½ teaspoon vanilla extract",• Preheat oven to 170 C ( 335F). ,38,8,46,https://images.squarespace-cdn.com/content/v1/54d4153ce4b00c0e483c13a6/1523549872907-HIBY8FRL9DLIA58SA8D1/orange+and+cardamom+ghirba+bahla+-4.jpg,https://www.mymoroccanfood.com/home/orange-and-cardamom-ghriba-my-first-supper-club
"Rhubarb, ginger and rose crumble ","500 gr rhubarb - 10 gr unsalted butter for greasing - 45 gr ginger stem, finely chopped - 3 tablespoons syrup for the ginger stem jar - 5 tablespoons light brown sugar - 2 teaspoons rose water - 200 gr plain flour - pinch salt - ½ teaspoon ground ginger - 130 gr unsalted cold butter  - 70 gr caster sugar - Labneh, greek yoghurt, custard or ice cream to serve, if desired - Rose petals for garnish, if desired",• Preheat oven to 200 C / 400 F. Grease an oven proof dish with the butter and set aside (I used a 20 cm/8 inch round tin).,57,84,141,https://images.squarespace-cdn.com/content/v1/54d4153ce4b00c0e483c13a6/1521324811706-GQSCB1POVCX7J4A2LCGL/Rhubarb+ginger+and+rose+crumble+-10.jpg,https://www.mymoroccanfood.com/home/rhubarb-ginger-and-rose-crumble
"Ras El Hanout Sweet Potato + Feta, Mint and Preserved Lemon Msemen Wrap","150 gr plain flour and more for kneading - 150 gr semolina flour and more for flouring  - ½ teaspoon salt - 120 to 170 ml lukewarm water - 4 tablespoons vegetable oil, divided and more for drizzling  - 20 gr melted butter","• In a large bowl mix all the flours, salt, 120 ml water and 2 tablespoons vegetable oil to form a dough. If the mixture is too dry and you can’t form a dough, add a couple tablespoons of water bit by bit. Make sure you don’t add too much water to the dough because it will make your dough very sticky and you won't be able to knead it. If that happens, add a bit of flour. When your dough is nicely done, lightly flour a worktop and knead for 15 minutes until light and soft.",64,73,137,https://images.squarespace-cdn.com/content/v1/54d4153ce4b00c0e483c13a6/1519139997886-XA3O10QOO2SC2HPHRNW7/Msemen+wrap+-1-2.jpg,https://www.mymoroccanfood.com/home/ras-el-hanout-sweet-potato-feta-mint-and-preserved-lemon-msemen-wrap
Moroccan Medley Salad Bowl ,"2 Avocados, chopped - 200 gr cherry tomatoes, halved - 1 batch of bakoula  - 1 batch of taktouka - 1 batch of carrot salad - 1 batch of preserved lemon and apricot couscous salad (recipe below) - A handful toasted flaked almonds, to serve  - Olive oil, to serve - 2 lemons, halved, to serve","• In a medium bowl, mix the avocado and the tomatoes to make a salad. Place a serving of each salad in 4 separate bowls; sprinkle each bowl with toasted flaked almonds. Serve immediately with olive oil and lemon halves on the side.",20,0,20,https://images.squarespace-cdn.com/content/v1/54d4153ce4b00c0e483c13a6/1517485882974-GXWPUCO94OO0BQ1H3V43/IMG_4990.jpg,https://www.mymoroccanfood.com/home/moroccan-medley-salad-bowl
Fekkas Cereals (Mini Biscottis),"180 gr plain flour and more for flouring  - 100 gr caster sugar - 3 tablespoons toasted sesame seeds - 1 teaspoon aniseeds - ½ teaspoon baking powder - Pinch salt - 30 ml vegetable oil - 1 large egg - 1 tablespoon orange blossom water - Desired choice and amount of dried fruits and nuts such as cranberry, pistachios and hazelnuts - Milk to serve",• Preheat the oven to 180 C (356 F),40,58,98,https://images.squarespace-cdn.com/content/v1/54d4153ce4b00c0e483c13a6/1515502533833-B0AKPG1J9RL1U8KTLSE5/Mini+fekkas+cereal+-11.jpg,https://www.mymoroccanfood.com/home/fekkas-cereals-mini-biscottis
"Shrimp, preserved lemon and saffron mac and cheese","50 gr unsalted butter - ¼ teaspoon paprika - 50 gr plain flour - 650 ml milk - 180 gr grated mature cheddar or Gruyere or mix of both + 4 tablespoons mature cheddar for topping - Salt and pepper to season - 2 tablespoons olive oil - 3 small preserved lemons, finely chopped - 3 garlic, peeled and crushed - 2 generous pinches of saffron - 300 gr shrimps, peeled and chopped - 350 gr macaroni - 3 tablespoons breadcrumbs, any type","• Start by making the white sauce. Melt the butter in a large deep skillet or saucepan over low heat, then add the flour and paprika. Stir vividly for 2 minutes using a wooden spoon until you obtain a smooth paste. For your information this paste is called a “roux”.",10,21,31,https://images.squarespace-cdn.com/content/v1/54d4153ce4b00c0e483c13a6/1513037547384-Y9FF6RG9XDULCQ4SDQ4Q/Shrimp%2C+preserved+lemon+and+saffron+mac+and+cheese+-4.jpg,https://www.mymoroccanfood.com/home/shrimp-preserved-lemon-and-saffron-mac-and-cheese
Zaalouk Focaccia ,"2 teaspoons dry yeast - 1 ½ teaspoon caster sugar - 300 gr plain flour and more for flouring - 7 tablespoons extra virgin olive oil, divided - 1 teaspoon salt - 160-200 ml warm water - One quantity of my zaalouk recipe - A handful chopped coriander and crumbled feta to serve",• Activate the dry yeast by adding ¼ teaspoon of sugar and a tablespoon of warm water in a small bowl. Stir with a fork and leave for 5 minutes to activate the dry yeast.,34,57,91,https://images.squarespace-cdn.com/content/v1/54d4153ce4b00c0e483c13a6/1511977456314-NW0QI141UG4WKO9R4SMD/IMG_4338.jpg,https://www.mymoroccanfood.com/home/zaalouk-focaccia
Saffron Chorba with Roasted Aubergine and Sweet Potatoes (Vegan),"2 large sweet potatoes (2 x 250g) peeled and cut into 2 cm chunks - 2 large aubergines (2 x 250g) cut into 2 cm chunks - 2 tablespoons olive oil - 2 onions, finely sliced - 2 medium sized tomatoes, grated - 2 tablespoons tomato paste - ½ teaspoon ground turmeric - 2 very generous pinches of saffron - 1 teaspoon salt or more to taste - ½ teaspoon ground black pepper - 500 ml vegetable stock - 1 x 400 can chickpeas, rinsed and drained - 100 gr spaghetti broken into 3 cm long pieces - Chopped parsley and more for serving","• Preheat the oven to 200 C. Place the aubergine and the sweet potato chunks in a large roasting tray, drizzle with a bit of olive oil and sprinkle with a bit of salt. Transfer in the oven and bake until tender and golden, about 25 to 30 minutes. Set aside until ready to use.",23,40,63,https://images.squarespace-cdn.com/content/v1/54d4153ce4b00c0e483c13a6/1509413047960-0G577COSTLL3JCPZ6L9A/Vegan+chorba+with+roasted+aubergine+and+sweet+potatoes+-10.jpg,https://www.mymoroccanfood.com/home/saffron-vegan-chorba-with-roasted-aubergine-and-sweet-potatoes
Merendina,200 gr 70% dark chocolate - 200 gr double cream - 50 gr icing sugar,"• Start with the ganache. In a medium sized saucepan, add in the double cream, chocolate and icing sugar over medium-low heat and leave stirring occasionally until the chocolate is melted and the mixture is well combined, about 5 minutes. Cover with cling film and place in the fridge until the ganache is spreadable, about 1 hour. After 1 hour remove it from the fridge otherwise, the ganache will become very hard and you won't be able to spread it.",30,35,65,https://images.squarespace-cdn.com/content/v1/54d4153ce4b00c0e483c13a6/1509017281643-1FZVW5LDIKM10Z238SFM/Merendina+-1-2.jpg,https://www.mymoroccanfood.com/home/merendina
"Lentil Stew with Lamb, Pumpkin and Shallots ","4 tablespoons olive oil - 300 gr boneless braising lamb, trimmed of excess fat and cut in 3 cm chunks (i.e. shoulder, neck fillet, etc.) - 2 medium sized tomatoes, grated - 1 ½ teaspoon ground paprika - 1 teaspoon ground cumin - 1 teaspoon salt or more to taste - Generous pinch ground cayenne pepper (optional) - 300 ml chicken or vegetable stock - 300 gr shallots, peeled - 250 gr dry green lentils - Chopped coriander to serve (optional) - Harissa, to serve optional - 400 gr pumpkin or butternut squash, peeled and cut into 2cm chunks","• In a large saucepan, warm the olive oil over medium heat and add the lamb. Cook the meat, stirring occasionally for 5 to 10 minutes to lightly brown the meat.",10,49,59,https://images.squarespace-cdn.com/content/v1/54d4153ce4b00c0e483c13a6/1507638989733-UF2CQJFC2C5K6T4KN1TD/Lentil%2C+pumpkin+and+shallots+stew+-4.jpg,https://www.mymoroccanfood.com/home/lentil-stew-with-lamb-pumpkin-and-shallots
Chicken tagine with chickpeas and fresh figs ,"3 tablespoons olive oil, divided  - 3 large onions, sliced - 1 kg chicken thighs or legs - 4 garlic cloves, peeled and pressed - 1 teaspoon turmeric - 1 teaspoon ground ginger - ¾ teaspoon salt or to taste - ¼ ground black pepper - 150 ml vegetable stock - 1 x 400 gr can of chickpeas, rinsed and drained - 500 gr ripe figs (about 8), torn into 6 pieces and more for garnish if desired - Roughly chopped fresh coriander, for serving","• In a large saucepan add the olive oil over medium heat and add in the onions. Cover with a lid and leave until the onions are soft and translucent, 15 to 20 minutes. Stir occasionally. Add in the garlic, turmeric, ginger, salt and black pepper into the saucepan and cook for 5 minutes stirring occasionally. Place the chicken inside the saucepan and pour in the chicken stock. Reduce the heat to medium-low, cover with a lid and leave to simmer gently until the chicken is almost cooked, about 45 minutes.",20,90,110,https://images.squarespace-cdn.com/content/v1/54d4153ce4b00c0e483c13a6/1506606282127-69QSJHFBN4WFN66JB79I/Chickpea+and+figs+chicken+tagine+-7.jpg,https://www.mymoroccanfood.com/home/chicken-tagine-with-chickpeas-and-fresh-figs
"Baked stuffed apples with almonds, raisins and orange blossom",4 large cooking apples - 50 gr unsalted butter - 50 gr brown sugar - 3 tablespoons raisins - 1 teaspoon orange blossom water  - 50 gr ground almonds - 2 tablespoons honey - Vanilla ice cream to serve,• Preheat the oven to 180 C/ 350 F. Remove the core from the apples with a sharp knife or an apple corer and transfer them to a roasting tin.,15,48,63,https://images.squarespace-cdn.com/content/v1/54d4153ce4b00c0e483c13a6/1504732591580-LNX3W571S7IHN86V802S/Stuffed+baked+apple+-9.jpg,https://www.mymoroccanfood.com/home/baked-stuffed-apples-with-almonds-raisins-and-orange-blossom
Seafood and Quinoa Salad Bowls with Turmeric and Mint Dressing,"1 tablespoon olive oil - 150 gr prawn - 250 gr calamari - 400 gr mussels, cleaned  - 150 gr salad leaves - 200 gr cooked quinoa - 150 gr large cucumber, sliced - 100 gr radishes, sliced - Mint leaves to serve, if desired","• Clean the mussels, if any of them are opened, tap them lightly and discard them if they don't close. Fill a medium sized saucepan with 4 tablespoons of water and a pinch of salt and bring to a boil over high heat. Reduce the heat to medium and add in the mussels. Cover the pan with a lid and cook the mussels for about 3 to 4 minutes, stirring occasionally. The mussels are cooked once they are opened, discard any that didn't open. Drain the mussels and set aside until ready to serve.",15,26,41,https://images.squarespace-cdn.com/content/v1/54d4153ce4b00c0e483c13a6/1502921794575-B7VC1PH7DT34OFXQGRWA/image-asset.jpeg,https://www.mymoroccanfood.com/home/seafood-and-quinoa-salad-bowls-with-turmeric-and-mint-dressing
Krachel French Toast ,120 ml whole milk - 3 large eggs - 4 tablespoons caster sugar - 1 teaspoon vanilla extract - ½ teaspoon ground cinnamon - ½ teaspoon ras el hanout - Pinch salt - 8 krachel - Maple syrup to serve - Sliced strawberries and peaches to serve,"• In a large shallow dish (such as a pie plate) beat together the milk, eggs, sugar, vanilla extract, cinnamon, ras el hanout and salt.",17,53,70,https://images.squarespace-cdn.com/content/v1/54d4153ce4b00c0e483c13a6/1501195793989-0W1Q887S1QUAFJT0B27R/image-asset.jpeg,https://www.mymoroccanfood.com/home/krachel-french-toast
"Merguez, Red Pepper and Burrata Pizza ","3 x pizza dough, (about 220 gr each) - 500 gr tomato sauce (homemade or store-bought)  - 500 gr merguez mince (recipe below) - 2 Romano peppers, finely sliced - 1 fresh chilli pepper, finely sliced (optional) - 300 gr burrata - Rocket leaves to serve","• Preheat the oven to 220 C/ 430 F and prepare the merguez meat. Toast the fennel, cumin and coriander seeds in a pan over medium heat for 3 to 4 minutes until fragrant. Use a mortar and a pestle to roughly grind the seeds. Alternatively, use a food processor.",31,65,96,https://images.squarespace-cdn.com/content/v1/54d4153ce4b00c0e483c13a6/1500459760075-1IQ5VTJTMRCSEVPKALOI/image-asset.jpeg,https://www.mymoroccanfood.com/home/merguez-red-pepper-and-burrata-pizza
Almond butter and rose popsicles with strawberry jam ,200 gr crunchy almond butter - 250 gr Greek yogurt - 120ml almond milk - 100 gr clear honey - ½ teaspoon rose water - ¼ teaspoon almond extract,"• In a blender, transfer the almond butter, yogurt, almond milk, honey, rose water and almond extract. Blend until smooth and there are no lumps.",20,31,51,https://images.squarespace-cdn.com/content/v1/54d4153ce4b00c0e483c13a6/1498519350196-QYQGUB46WNNUWMGQ6Z63/image-asset.jpeg,https://www.mymoroccanfood.com/home/almond-butter-and-rose-popsicles-with-strawberry-jam
Lemon Jam with Preserved Lemon,"500g lemons (about 5 lemons) - 500ml water  - 350g caster sugar - 3 small preserved lemons (30g each), finely chopped","• Cut 0,5cm off from the ends of the lemons and cut them into wedges. Thinly slice each lemon wedge to make small triangles. Transfer the lemon pieces and the water into a large saucepan and bring to a boil over high heat. Reduce the heat to medium-low and let simmer, uncovered, for about 30 minutes until the lemon pieces are soft and cooked through. If too much of the water evaporates and the content of the saucepan looks dry, add about half a cup of water into the saucepan.",24,52,76,https://images.squarespace-cdn.com/content/v1/54d4153ce4b00c0e483c13a6/1497971556344-3OH9QBR70ALX63ZVLLC4/image-asset.jpeg,https://www.mymoroccanfood.com/home/lemon-jam-with-preserved-lemon
Chermoula Prawns and Calamari with Tomatoes and Avocado,"300g cleaned prawns - 300g calamari, sliced into rings - 2 avocados, peeled, and roughly chopped - 2 tomatoes, roughly chopped - 50g feta, crumbled - ","• In large mixing bowl mix all the chermoula ingredients together and stir until smooth. Add in the shrimp and calamari and leave in the fridge to marinate, the longer the better.",15,44,59,https://images.squarespace-cdn.com/content/v1/54d4153ce4b00c0e483c13a6/1496854912996-M1U9DW6XN5B53VIOH8XX/image-asset.jpeg,https://www.mymoroccanfood.com/home/chermoula-prawns-and-calamari-with-tomatoes-and-avocado
"Roasted Cauliflower, Apricots and Chickpea Tagine (Vegan)","1 x 400g can chickpea, rinsed and drained - 150ml vegetable stock - 100g dried apricots - 2 large onions, sliced - 2 garlic cloves, peeled and crushed - 2 tablespoons olive oil and more to roast the cauliflower - ½ teaspoon ground turmeric - ½ teaspoon ground ginger - ½ teaspoon ground cumin - ½ teaspoon ground coriander - ½ teaspoon salt - 1 large cauliflower cut into florets (makes approximately 600g florets) - Cooked couscous or bread to serve - Chopped coriander to serve - Ground roasted almonds or almonds flake, to serve",• Preheat the oven to 200 C.,18,33,51,https://images.squarespace-cdn.com/content/v1/54d4153ce4b00c0e483c13a6/1495014818362-8S0YDJTB5YMCKQFTKCE9/image-asset.jpeg,https://www.mymoroccanfood.com/home/roasted-cauliflower-apricots-and-chickpea-tagine-vegan
